binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp
prog40_bisection_root,1,1.0000,5,5,True,False,791,12,0.026146,19301,1369,databricks-claude-haiku-4-5,databricks,24.4,[],2026-08-12T23:31:02
prog40_bisection_root,2,1.0000,5,5,True,False,780,12,0.021867,13177,1738,databricks-claude-haiku-4-5,databricks,22.2,[],2026-08-12T23:31:24
prog40_bisection_root,3,0.0000,0,5,False,False,785,12,0.007151,441,1342,databricks-claude-haiku-4-5,databricks,8.4,"/w/candidate.c:36:9: error: call to undeclared function 'atof'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
   36 |     a = atof(argv[1]);
      |         ^
1 error generated.
",2026-08-12T23:31:33
prog40_bisection_root,4,1.0000,5,5,True,False,807,12,0.028556,21431,1425,databricks-claude-haiku-4-5,databricks,26.0,[],2026-08-12T23:31:59
prog40_bisection_root,5,1.0000,5,5,True,False,780,12,0.029954,21719,1647,databricks-claude-haiku-4-5,databricks,25.7,[],2026-08-12T23:32:24
prog40_bisection_root,6,1.0000,5,5,True,False,822,12,0.037063,24168,2579,databricks-claude-haiku-4-5,databricks,28.2,[],2026-08-12T23:32:53
prog40_bisection_root,7,1.0000,5,5,True,False,857,12,0.174821,86281,17708,databricks-claude-haiku-4-5,databricks,70.9,[],2026-08-12T23:34:04
prog40_bisection_root,8,1.0000,5,5,True,False,791,12,0.034201,25651,1710,databricks-claude-haiku-4-5,databricks,26.9,[],2026-08-12T23:34:30
prog41_series_sum,1,0.0000,0,5,True,False,836,12,0.017810,11470,1268,databricks-claude-haiku-4-5,databricks,16.7,[],2026-08-12T23:34:47
prog41_series_sum,2,0.4000,2,5,True,False,937,12,0.039017,27657,2272,databricks-claude-haiku-4-5,databricks,25.3,[],2026-08-12T23:35:12
prog41_series_sum,3,0.6000,3,5,True,False,1263,12,0.045501,33516,2397,databricks-claude-haiku-4-5,databricks,28.8,[],2026-08-12T23:35:41
prog41_series_sum,4,0.0000,0,5,False,False,345,12,0.306790,99415,41475,databricks-claude-haiku-4-5,databricks,132.6,harness_error: IndexError: list index out of range,2026-08-12T23:37:54
prog41_series_sum,5,0.0000,0,5,False,True,0,12,0.002715,1195,304,databricks-claude-haiku-4-5,databricks,8.2,"RateLimitError: Error code: 429 - {'error_code': 'REQUEST_LIMIT_EXCEEDED', 'message': 'REQUEST_LIMIT_EXCEEDED: Exceeded workspace output tokens per minute rate limit for databricks-claude-haiku-4-5. Work with your Databricks account team to request a higher FMAPI rate limit tier.'}
Traceback (most r",2026-08-12T23:38:02
prog41_series_sum,6,0.0000,0,5,False,True,0,12,0.000000,0,0,databricks-claude-haiku-4-5,databricks,2.4,"RateLimitError: Error code: 429 - {'error_code': 'REQUEST_LIMIT_EXCEEDED', 'message': 'REQUEST_LIMIT_EXCEEDED: Exceeded workspace output tokens per minute rate limit for databricks-claude-haiku-4-5. Work with your Databricks account team to request a higher FMAPI rate limit tier.'}
Traceback (most r",2026-08-12T23:38:05
prog41_series_sum,7,0.0000,0,5,False,True,0,12,0.000000,0,0,databricks-claude-haiku-4-5,databricks,2.4,"RateLimitError: Error code: 429 - {'error_code': 'REQUEST_LIMIT_EXCEEDED', 'message': 'REQUEST_LIMIT_EXCEEDED: Exceeded workspace output tokens per minute rate limit for databricks-claude-haiku-4-5. Work with your Databricks account team to request a higher FMAPI rate limit tier.'}
Traceback (most r",2026-08-12T23:38:07
prog41_series_sum,8,0.0000,0,5,False,True,0,12,0.000000,0,0,databricks-claude-haiku-4-5,databricks,2.5,"RateLimitError: Error code: 429 - {'error_code': 'REQUEST_LIMIT_EXCEEDED', 'message': 'REQUEST_LIMIT_EXCEEDED: Exceeded workspace output tokens per minute rate limit for databricks-claude-haiku-4-5. Work with your Databricks account team to request a higher FMAPI rate limit tier.'}
Traceback (most r",2026-08-12T23:38:09
prog42_collatz,1,0.0000,0,5,False,True,0,12,0.000000,0,0,databricks-claude-haiku-4-5,databricks,2.4,"RateLimitError: Error code: 429 - {'error_code': 'REQUEST_LIMIT_EXCEEDED', 'message': 'REQUEST_LIMIT_EXCEEDED: Exceeded workspace output tokens per minute rate limit for databricks-claude-haiku-4-5. Work with your Databricks account team to request a higher FMAPI rate limit tier.'}
Traceback (most r",2026-08-12T23:38:12
