binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,565,12,0.012691,8716,795,databricks-claude-haiku-4-5,databricks,13.7,[],2026-08-15T19:43:20,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,565,12,0.012691,8716,795,databricks-claude-haiku-4-5,databricks,17.9,[],2026-08-15T19:43:38,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,565,12,0.012691,8716,795,databricks-claude-haiku-4-5,databricks,12.3,[],2026-08-15T19:43:50,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,4,1.0000,5,5,True,False,565,12,0.012691,8716,795,databricks-claude-haiku-4-5,databricks,12.0,[],2026-08-15T19:44:02,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,565,12,0.012691,8716,795,databricks-claude-haiku-4-5,databricks,13.0,[],2026-08-15T19:44:15,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,565,12,0.012691,8716,795,databricks-claude-haiku-4-5,databricks,12.3,[],2026-08-15T19:44:27,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,7,1.0000,5,5,True,False,565,12,0.012691,8716,795,databricks-claude-haiku-4-5,databricks,12.0,[],2026-08-15T19:44:39,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,8,1.0000,5,5,True,False,565,12,0.012691,8716,795,databricks-claude-haiku-4-5,databricks,12.5,[],2026-08-15T19:44:52,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,1,0.6000,3,5,True,False,1061,12,0.024792,19182,1122,databricks-claude-haiku-4-5,databricks,16.7,[],2026-08-15T19:45:08,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,2,0.6000,3,5,True,False,1057,12,0.024792,19182,1122,databricks-claude-haiku-4-5,databricks,16.9,[],2026-08-15T19:45:25,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,3,0.6000,3,5,True,False,1057,12,0.024792,19182,1122,databricks-claude-haiku-4-5,databricks,17.0,[],2026-08-15T19:45:42,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,4,0.6000,3,5,True,False,1061,12,0.024792,19182,1122,databricks-claude-haiku-4-5,databricks,17.5,[],2026-08-15T19:46:00,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,5,0.6000,3,5,True,False,1061,12,0.024792,19182,1122,databricks-claude-haiku-4-5,databricks,18.2,[],2026-08-15T19:46:18,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,6,0.6000,3,5,True,False,1061,12,0.024792,19182,1122,databricks-claude-haiku-4-5,databricks,17.3,[],2026-08-15T19:46:35,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,7,0.6000,3,5,True,False,1061,12,0.024792,19182,1122,databricks-claude-haiku-4-5,databricks,16.5,[],2026-08-15T19:46:52,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,8,0.6000,3,5,True,False,1061,12,0.024792,19182,1122,databricks-claude-haiku-4-5,databricks,16.4,[],2026-08-15T19:47:08,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,1,0.8000,4,5,True,False,1301,12,0.015743,9918,1165,databricks-claude-haiku-4-5,databricks,14.6,[],2026-08-15T19:47:23,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,2,0.8000,4,5,True,False,1301,12,0.015743,9918,1165,databricks-claude-haiku-4-5,databricks,14.2,[],2026-08-15T19:47:37,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,3,0.8000,4,5,True,False,1301,12,0.015743,9918,1165,databricks-claude-haiku-4-5,databricks,15.4,[],2026-08-15T19:47:52,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,4,0.8000,4,5,True,False,1301,12,0.015743,9918,1165,databricks-claude-haiku-4-5,databricks,14.6,[],2026-08-15T19:48:07,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,5,0.8000,4,5,True,False,1301,12,0.015743,9918,1165,databricks-claude-haiku-4-5,databricks,14.5,[],2026-08-15T19:48:21,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,6,0.8000,4,5,True,False,1301,12,0.015743,9918,1165,databricks-claude-haiku-4-5,databricks,14.3,[],2026-08-15T19:48:36,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,7,0.8000,4,5,True,False,1301,12,0.015743,9918,1165,databricks-claude-haiku-4-5,databricks,14.9,[],2026-08-15T19:48:51,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,8,0.8000,4,5,True,False,1301,12,0.015743,9918,1165,databricks-claude-haiku-4-5,databricks,13.9,[],2026-08-15T19:49:05,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,1,1.0000,5,5,True,False,1207,12,0.014720,9785,987,databricks-claude-haiku-4-5,databricks,12.5,[],2026-08-15T19:49:17,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,2,1.0000,5,5,True,False,1207,12,0.014720,9785,987,databricks-claude-haiku-4-5,databricks,12.0,[],2026-08-15T19:49:29,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,3,1.0000,5,5,True,False,1207,12,0.014720,9785,987,databricks-claude-haiku-4-5,databricks,12.4,[],2026-08-15T19:49:41,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,4,1.0000,5,5,True,False,1207,12,0.014720,9785,987,databricks-claude-haiku-4-5,databricks,12.2,[],2026-08-15T19:49:54,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,5,1.0000,5,5,True,False,1207,12,0.014720,9785,987,databricks-claude-haiku-4-5,databricks,12.3,[],2026-08-15T19:50:06,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,6,1.0000,5,5,True,False,1207,12,0.014720,9785,987,databricks-claude-haiku-4-5,databricks,12.1,[],2026-08-15T19:50:18,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,7,1.0000,5,5,True,False,1207,12,0.014720,9785,987,databricks-claude-haiku-4-5,databricks,12.3,[],2026-08-15T19:50:30,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,8,1.0000,5,5,True,False,1207,12,0.014720,9785,987,databricks-claude-haiku-4-5,databricks,11.8,[],2026-08-15T19:50:42,claude-haiku-4-5,databricks,native
prog20_anagram_checker,1,1.0000,5,5,True,False,1338,12,0.046488,35588,2180,databricks-claude-haiku-4-5,databricks,27.0,[],2026-08-15T19:51:09,claude-haiku-4-5,databricks,native
prog20_anagram_checker,2,1.0000,5,5,True,False,1338,12,0.046488,35588,2180,databricks-claude-haiku-4-5,databricks,28.3,[],2026-08-15T19:51:38,claude-haiku-4-5,databricks,native
prog20_anagram_checker,3,1.0000,5,5,True,False,1338,12,0.046488,35588,2180,databricks-claude-haiku-4-5,databricks,29.3,[],2026-08-15T19:52:07,claude-haiku-4-5,databricks,native
prog20_anagram_checker,4,1.0000,5,5,True,False,1338,12,0.046488,35588,2180,databricks-claude-haiku-4-5,databricks,27.2,[],2026-08-15T19:52:34,claude-haiku-4-5,databricks,native
prog20_anagram_checker,5,1.0000,5,5,True,False,1338,12,0.046488,35588,2180,databricks-claude-haiku-4-5,databricks,27.3,[],2026-08-15T19:53:01,claude-haiku-4-5,databricks,native
prog20_anagram_checker,6,1.0000,5,5,True,False,1338,12,0.046488,35588,2180,databricks-claude-haiku-4-5,databricks,26.9,[],2026-08-15T19:53:28,claude-haiku-4-5,databricks,native
prog20_anagram_checker,7,1.0000,5,5,True,False,1338,12,0.046488,35588,2180,databricks-claude-haiku-4-5,databricks,27.1,[],2026-08-15T19:53:55,claude-haiku-4-5,databricks,native
prog20_anagram_checker,8,1.0000,5,5,True,False,1338,12,0.046488,35588,2180,databricks-claude-haiku-4-5,databricks,27.4,[],2026-08-15T19:54:23,claude-haiku-4-5,databricks,native
prog21_date_validator,1,0.6000,3,5,True,False,1416,12,0.037855,30400,1491,databricks-claude-haiku-4-5,databricks,20.4,[],2026-08-15T19:54:43,claude-haiku-4-5,databricks,native
prog21_date_validator,2,0.6000,3,5,True,False,1416,12,0.037855,30400,1491,databricks-claude-haiku-4-5,databricks,20.3,[],2026-08-15T19:55:03,claude-haiku-4-5,databricks,native
prog21_date_validator,3,0.6000,3,5,True,False,1416,12,0.037855,30400,1491,databricks-claude-haiku-4-5,databricks,20.8,[],2026-08-15T19:55:24,claude-haiku-4-5,databricks,native
prog21_date_validator,4,0.6000,3,5,True,False,1416,12,0.037855,30400,1491,databricks-claude-haiku-4-5,databricks,20.6,[],2026-08-15T19:55:45,claude-haiku-4-5,databricks,native
prog21_date_validator,5,0.6000,3,5,True,False,1416,12,0.037855,30400,1491,databricks-claude-haiku-4-5,databricks,21.4,[],2026-08-15T19:56:06,claude-haiku-4-5,databricks,native
prog21_date_validator,6,0.6000,3,5,True,False,1416,12,0.037855,30400,1491,databricks-claude-haiku-4-5,databricks,20.5,[],2026-08-15T19:56:27,claude-haiku-4-5,databricks,native
prog21_date_validator,7,0.6000,3,5,True,False,1416,12,0.037855,30400,1491,databricks-claude-haiku-4-5,databricks,20.9,[],2026-08-15T19:56:47,claude-haiku-4-5,databricks,native
prog21_date_validator,8,0.6000,3,5,True,False,1416,12,0.037855,30400,1491,databricks-claude-haiku-4-5,databricks,20.1,[],2026-08-15T19:57:08,claude-haiku-4-5,databricks,native
prog22_snake_camel_convert,1,0.6000,3,5,True,False,2109,12,0.033563,25968,1519,databricks-claude-haiku-4-5,databricks,18.4,[],2026-08-15T19:57:26,claude-haiku-4-5,databricks,native
prog22_snake_camel_convert,2,0.6000,3,5,True,False,2109,12,0.033563,25968,1519,databricks-claude-haiku-4-5,databricks,18.5,[],2026-08-15T19:57:44,claude-haiku-4-5,databricks,native
prog22_snake_camel_convert,3,0.6000,3,5,True,False,2109,12,0.033563,25968,1519,databricks-claude-haiku-4-5,databricks,18.5,[],2026-08-15T19:58:03,claude-haiku-4-5,databricks,native
prog22_snake_camel_convert,4,0.6000,3,5,True,False,2109,12,0.033563,25968,1519,databricks-claude-haiku-4-5,databricks,18.4,[],2026-08-15T19:58:21,claude-haiku-4-5,databricks,native
prog22_snake_camel_convert,5,0.6000,3,5,True,False,2109,12,0.033563,25968,1519,databricks-claude-haiku-4-5,databricks,19.6,[],2026-08-15T19:58:41,claude-haiku-4-5,databricks,native
prog22_snake_camel_convert,6,0.6000,3,5,True,False,2109,12,0.033563,25968,1519,databricks-claude-haiku-4-5,databricks,19.2,[],2026-08-15T19:59:00,claude-haiku-4-5,databricks,native
prog22_snake_camel_convert,7,0.6000,3,5,True,False,2109,12,0.033563,25968,1519,databricks-claude-haiku-4-5,databricks,19.9,[],2026-08-15T19:59:20,claude-haiku-4-5,databricks,native
prog22_snake_camel_convert,8,0.6000,3,5,True,False,2109,12,0.033563,25968,1519,databricks-claude-haiku-4-5,databricks,18.6,[],2026-08-15T19:59:39,claude-haiku-4-5,databricks,native
prog23_longest_common_prefix,1,1.0000,5,5,True,False,1224,12,0.027338,21088,1250,databricks-claude-haiku-4-5,databricks,18.0,[],2026-08-15T19:59:57,claude-haiku-4-5,databricks,native
