binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,729,12,0.011056,7201,771,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,10.6,[],2026-08-15T07:58:10,claude-haiku-4-5,bedrock,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,729,12,0.011056,7201,771,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,11.5,[],2026-08-15T07:58:21,claude-haiku-4-5,bedrock,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,729,12,0.011056,7201,771,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,11.2,[],2026-08-15T07:58:32,claude-haiku-4-5,bedrock,native
prog16_word_count_fsm,4,1.0000,5,5,True,False,729,12,0.011056,7201,771,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,10.3,[],2026-08-15T07:58:43,claude-haiku-4-5,bedrock,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,729,12,0.011056,7201,771,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,10.3,[],2026-08-15T07:58:53,claude-haiku-4-5,bedrock,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,729,12,0.011056,7201,771,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,10.8,[],2026-08-15T07:59:04,claude-haiku-4-5,bedrock,native
prog16_word_count_fsm,7,1.0000,5,5,True,False,729,12,0.011056,7201,771,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,11.3,[],2026-08-15T07:59:15,claude-haiku-4-5,bedrock,native
prog16_word_count_fsm,8,1.0000,5,5,True,False,729,12,0.011056,7201,771,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,10.5,[],2026-08-15T07:59:26,claude-haiku-4-5,bedrock,native
prog17_whitespace_trim,1,0.6000,3,5,True,False,1094,12,0.017759,12799,992,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.0,[],2026-08-15T07:59:39,claude-haiku-4-5,bedrock,native
prog17_whitespace_trim,2,0.6000,3,5,True,False,1094,12,0.017759,12799,992,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,14.2,[],2026-08-15T07:59:53,claude-haiku-4-5,bedrock,native
prog17_whitespace_trim,3,0.6000,3,5,True,False,1094,12,0.017759,12799,992,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.1,[],2026-08-15T08:00:06,claude-haiku-4-5,bedrock,native
prog17_whitespace_trim,4,0.6000,3,5,True,False,1094,12,0.017759,12799,992,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.5,[],2026-08-15T08:00:19,claude-haiku-4-5,bedrock,native
prog17_whitespace_trim,5,0.6000,3,5,True,False,1094,12,0.017759,12799,992,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.2,[],2026-08-15T08:00:33,claude-haiku-4-5,bedrock,native
prog17_whitespace_trim,6,0.6000,3,5,True,False,1094,12,0.017759,12799,992,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.4,[],2026-08-15T08:00:46,claude-haiku-4-5,bedrock,native
prog17_whitespace_trim,7,0.6000,3,5,True,False,1094,12,0.017759,12799,992,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.7,[],2026-08-15T08:01:00,claude-haiku-4-5,bedrock,native
prog17_whitespace_trim,8,0.6000,3,5,True,False,1094,12,0.017759,12799,992,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.2,[],2026-08-15T08:01:13,claude-haiku-4-5,bedrock,native
prog18_caesar_cipher,1,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,11.7,[],2026-08-15T08:01:25,claude-haiku-4-5,bedrock,native
prog18_caesar_cipher,2,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,12.0,[],2026-08-15T08:01:37,claude-haiku-4-5,bedrock,native
prog18_caesar_cipher,3,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,11.8,[],2026-08-15T08:01:49,claude-haiku-4-5,bedrock,native
prog18_caesar_cipher,4,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,12.1,[],2026-08-15T08:02:01,claude-haiku-4-5,bedrock,native
prog18_caesar_cipher,5,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,11.9,[],2026-08-15T08:02:13,claude-haiku-4-5,bedrock,native
prog18_caesar_cipher,6,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,12.0,[],2026-08-15T08:02:25,claude-haiku-4-5,bedrock,native
prog18_caesar_cipher,7,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,12.4,[],2026-08-15T08:02:37,claude-haiku-4-5,bedrock,native
prog18_caesar_cipher,8,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,12.6,[],2026-08-15T08:02:49,claude-haiku-4-5,bedrock,native
prog19_palindrome_checker,1,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,15.9,[],2026-08-15T08:03:05,claude-haiku-4-5,bedrock,native
prog19_palindrome_checker,2,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,15.7,[],2026-08-15T08:03:21,claude-haiku-4-5,bedrock,native
prog19_palindrome_checker,3,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,15.9,[],2026-08-15T08:03:37,claude-haiku-4-5,bedrock,native
prog19_palindrome_checker,4,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,16.5,[],2026-08-15T08:03:53,claude-haiku-4-5,bedrock,native
prog19_palindrome_checker,5,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,16.3,[],2026-08-15T08:04:10,claude-haiku-4-5,bedrock,native
prog19_palindrome_checker,6,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,16.4,[],2026-08-15T08:04:26,claude-haiku-4-5,bedrock,native
prog19_palindrome_checker,7,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,15.2,[],2026-08-15T08:04:41,claude-haiku-4-5,bedrock,native
prog19_palindrome_checker,8,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,15.2,[],2026-08-15T08:04:57,claude-haiku-4-5,bedrock,native
prog20_anagram_checker,1,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,20.2,[],2026-08-15T08:05:17,claude-haiku-4-5,bedrock,native
prog20_anagram_checker,2,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,20.7,[],2026-08-15T08:05:38,claude-haiku-4-5,bedrock,native
prog20_anagram_checker,3,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,20.3,[],2026-08-15T08:05:58,claude-haiku-4-5,bedrock,native
prog20_anagram_checker,4,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,21.6,[],2026-08-15T08:06:19,claude-haiku-4-5,bedrock,native
prog20_anagram_checker,5,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,20.3,[],2026-08-15T08:06:40,claude-haiku-4-5,bedrock,native
prog20_anagram_checker,6,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,19.9,[],2026-08-15T08:07:00,claude-haiku-4-5,bedrock,native
prog20_anagram_checker,7,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,20.4,[],2026-08-15T08:07:20,claude-haiku-4-5,bedrock,native
prog20_anagram_checker,8,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,20.1,[],2026-08-15T08:07:40,claude-haiku-4-5,bedrock,native
prog21_date_validator,1,0.6000,3,5,True,False,1612,12,0.030447,21762,1737,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,21.7,[],2026-08-15T08:08:02,claude-haiku-4-5,bedrock,native
prog21_date_validator,2,0.6000,3,5,True,False,1612,12,0.030447,21762,1737,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,18.4,[],2026-08-15T08:08:20,claude-haiku-4-5,bedrock,native
prog21_date_validator,3,0.6000,3,5,True,False,1612,12,0.030447,21762,1737,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,18.2,[],2026-08-15T08:08:39,claude-haiku-4-5,bedrock,native
prog21_date_validator,4,0.6000,3,5,True,False,1612,12,0.030447,21762,1737,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,18.0,[],2026-08-15T08:08:56,claude-haiku-4-5,bedrock,native
prog21_date_validator,5,0.6000,3,5,True,False,1295,12,0.031057,21762,1859,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,21.5,[],2026-08-15T08:09:18,claude-haiku-4-5,bedrock,native
prog21_date_validator,6,0.6000,3,5,True,False,1612,12,0.030447,21762,1737,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,18.2,[],2026-08-15T08:09:36,claude-haiku-4-5,bedrock,native
prog21_date_validator,7,0.6000,3,5,True,False,1612,12,0.030447,21762,1737,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,18.2,[],2026-08-15T08:09:54,claude-haiku-4-5,bedrock,native
prog21_date_validator,8,0.6000,3,5,True,False,1612,12,0.030447,21762,1737,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,18.3,[],2026-08-15T08:10:13,claude-haiku-4-5,bedrock,native
prog22_snake_camel_convert,1,0.8000,4,5,True,False,1540,12,0.022962,17352,1122,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.6,[],2026-08-15T08:10:26,claude-haiku-4-5,bedrock,native
prog22_snake_camel_convert,2,0.8000,4,5,True,False,1540,12,0.022962,17352,1122,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.9,[],2026-08-15T08:10:40,claude-haiku-4-5,bedrock,native
prog22_snake_camel_convert,3,0.8000,4,5,True,False,1426,12,0.023032,17352,1136,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,14.1,[],2026-08-15T08:10:54,claude-haiku-4-5,bedrock,native
prog22_snake_camel_convert,4,0.8000,4,5,True,False,1540,12,0.022962,17352,1122,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.7,[],2026-08-15T08:11:08,claude-haiku-4-5,bedrock,native
prog22_snake_camel_convert,5,0.8000,4,5,True,False,1540,12,0.022962,17352,1122,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.9,[],2026-08-15T08:11:22,claude-haiku-4-5,bedrock,native
prog22_snake_camel_convert,6,0.8000,4,5,True,False,1540,12,0.022962,17352,1122,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,17.0,[],2026-08-15T08:11:39,claude-haiku-4-5,bedrock,native
prog22_snake_camel_convert,7,0.8000,4,5,True,False,1540,12,0.022962,17352,1122,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,14.0,[],2026-08-15T08:11:53,claude-haiku-4-5,bedrock,native
prog22_snake_camel_convert,8,0.8000,4,5,True,False,1540,12,0.022962,17352,1122,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,14.8,[],2026-08-15T08:12:08,claude-haiku-4-5,bedrock,native
prog23_longest_common_prefix,1,1.0000,5,5,True,False,1212,12,0.013712,8057,1131,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.2,[],2026-08-15T08:12:21,claude-haiku-4-5,bedrock,native
prog23_longest_common_prefix,2,1.0000,5,5,True,False,1212,12,0.013712,8057,1131,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.1,[],2026-08-15T08:12:34,claude-haiku-4-5,bedrock,native
prog23_longest_common_prefix,3,1.0000,5,5,True,False,1212,12,0.013712,8057,1131,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.0,[],2026-08-15T08:12:47,claude-haiku-4-5,bedrock,native
prog23_longest_common_prefix,4,1.0000,5,5,True,False,1212,12,0.013712,8057,1131,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.2,[],2026-08-15T08:13:00,claude-haiku-4-5,bedrock,native
prog23_longest_common_prefix,5,1.0000,5,5,True,False,1212,12,0.013712,8057,1131,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,12.9,[],2026-08-15T08:13:13,claude-haiku-4-5,bedrock,native
prog23_longest_common_prefix,6,1.0000,5,5,True,False,1212,12,0.013712,8057,1131,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.1,[],2026-08-15T08:13:26,claude-haiku-4-5,bedrock,native
prog23_longest_common_prefix,7,1.0000,5,5,True,False,1212,12,0.013712,8057,1131,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.1,[],2026-08-15T08:13:39,claude-haiku-4-5,bedrock,native
prog23_longest_common_prefix,8,1.0000,5,5,True,False,1212,12,0.013712,8057,1131,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,13.0,[],2026-08-15T08:13:52,claude-haiku-4-5,bedrock,native
prog24_query_string_parser,1,0.6000,3,5,True,False,2684,12,0.041766,33771,1599,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,19.4,[],2026-08-15T08:14:12,claude-haiku-4-5,bedrock,native
prog24_query_string_parser,2,0.6000,3,5,True,False,2684,12,0.041766,33771,1599,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,18.7,[],2026-08-15T08:14:30,claude-haiku-4-5,bedrock,native
prog24_query_string_parser,3,0.6000,3,5,True,False,2684,12,0.041766,33771,1599,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,18.6,[],2026-08-15T08:14:49,claude-haiku-4-5,bedrock,native
prog24_query_string_parser,4,0.6000,3,5,True,False,2684,12,0.041766,33771,1599,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,18.5,[],2026-08-15T08:15:07,claude-haiku-4-5,bedrock,native
prog24_query_string_parser,5,0.6000,3,5,True,False,2684,12,0.041766,33771,1599,us.anthropic.claude-haiku-4-5-20251001-v1:0,bedrock,19.7,[],2026-08-15T08:15:27,claude-haiku-4-5,bedrock,native
