binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,12.5,[],2026-08-15T08:46:01,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,11.0,[],2026-08-15T08:46:12,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.0,[],2026-08-15T08:46:22,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,4,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,9.9,[],2026-08-15T08:46:32,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.3,[],2026-08-15T08:46:42,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.0,[],2026-08-15T08:46:52,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,7,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.3,[],2026-08-15T08:47:02,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,8,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.2,[],2026-08-15T08:47:13,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,1,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,13.1,[],2026-08-15T08:47:26,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,2,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,12.7,[],2026-08-15T08:47:38,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,3,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,12.6,[],2026-08-15T08:47:51,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,4,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,12.9,[],2026-08-15T08:48:04,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,5,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,13.0,[],2026-08-15T08:48:17,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,6,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,13.7,[],2026-08-15T08:48:31,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,7,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,12.5,[],2026-08-15T08:48:43,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,8,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,13.7,[],2026-08-15T08:48:57,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,1,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.8,[],2026-08-15T08:49:09,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,2,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,12.7,[],2026-08-15T08:49:21,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,3,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.6,[],2026-08-15T08:49:33,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,4,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.5,[],2026-08-15T08:49:44,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,5,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.6,[],2026-08-15T08:49:56,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,6,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.7,[],2026-08-15T08:50:08,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,7,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.8,[],2026-08-15T08:50:19,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,8,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.6,[],2026-08-15T08:50:31,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,1,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,databricks-claude-haiku-4-5,databricks,14.6,[],2026-08-15T08:50:46,claude-haiku-4-5,databricks,native
