binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog48_sorted_linked_list,1,1.0000,5,5,True,False,1290,12,0.044652,10559,865,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,19.8,[],2026-08-15T12:53:27,claude-sonnet-4-5,bedrock,native
prog48_sorted_linked_list,2,1.0000,5,5,True,False,1457,12,0.044967,10559,886,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,20.1,[],2026-08-15T12:53:47,claude-sonnet-4-5,bedrock,native
prog48_sorted_linked_list,3,1.0000,5,5,True,False,1457,12,0.044967,10559,886,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,19.7,[],2026-08-15T12:54:07,claude-sonnet-4-5,bedrock,native
prog48_sorted_linked_list,4,1.0000,5,5,True,False,1348,12,0.044772,10559,873,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,20.3,[],2026-08-15T12:54:27,claude-sonnet-4-5,bedrock,native
prog48_sorted_linked_list,5,1.0000,5,5,True,False,1457,12,0.044967,10559,886,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,19.6,[],2026-08-15T12:54:47,claude-sonnet-4-5,bedrock,native
prog48_sorted_linked_list,6,1.0000,5,5,True,False,1348,12,0.044772,10559,873,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,19.9,[],2026-08-15T12:55:07,claude-sonnet-4-5,bedrock,native
prog48_sorted_linked_list,7,1.0000,5,5,True,False,1348,12,0.044787,10559,874,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,19.7,[],2026-08-15T12:55:27,claude-sonnet-4-5,bedrock,native
prog48_sorted_linked_list,8,1.0000,5,5,True,False,1457,12,0.044967,10559,886,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,18.9,[],2026-08-15T12:55:45,claude-sonnet-4-5,bedrock,native
prog49_bst,1,0.6000,3,5,True,False,2625,12,0.071331,17127,1330,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,24.0,[],2026-08-15T12:56:10,claude-sonnet-4-5,bedrock,native
prog49_bst,2,0.6000,3,5,True,False,2625,12,0.071331,17127,1330,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,23.1,[],2026-08-15T12:56:33,claude-sonnet-4-5,bedrock,native
prog49_bst,3,0.6000,3,5,True,False,2289,12,0.070176,17127,1253,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,22.3,[],2026-08-15T12:56:55,claude-sonnet-4-5,bedrock,native
prog49_bst,4,0.6000,3,5,True,False,2289,12,0.070176,17127,1253,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,22.9,[],2026-08-15T12:57:18,claude-sonnet-4-5,bedrock,native
prog49_bst,5,0.2000,1,5,True,False,2312,12,0.070296,17127,1261,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,23.0,[],2026-08-15T12:57:41,claude-sonnet-4-5,bedrock,native
prog49_bst,6,0.6000,3,5,True,False,2309,12,0.070266,17127,1259,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,23.6,[],2026-08-15T12:58:04,claude-sonnet-4-5,bedrock,native
prog49_bst,7,0.6000,3,5,True,False,2289,12,0.070176,17127,1253,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,23.0,[],2026-08-15T12:58:27,claude-sonnet-4-5,bedrock,native
