binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,0.8000,4,5,True,False,631,12,0.030660,7245,595,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,17.4,[],2026-08-15T12:53:25,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,2,1.0000,5,5,True,False,606,12,0.032631,7282,719,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,18.2,[],2026-08-15T12:53:43,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,3,1.0000,5,5,True,False,557,12,0.029985,7245,550,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,20.8,[],2026-08-15T12:54:04,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,4,0.8000,4,5,True,False,610,12,0.032259,7298,691,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,21.0,[],2026-08-15T12:54:25,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,5,1.0000,5,5,True,False,876,12,0.033573,7246,789,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,20.1,[],2026-08-15T12:54:45,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,6,0.2000,1,5,True,False,806,12,0.035886,7282,936,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,22.8,[],2026-08-15T12:55:08,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,7,0.0000,0,5,False,False,603,12,0.033159,7298,751,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,20.2,"/w/candidate.c:34:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
   34 | _word) {
      | ^
      | int
/w/candidate.c:34:6: error: expected ';' after top level declarator
   34 | _word) {
      |      ^
      |      ;
/w/candidate",2026-08-15T12:55:28,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,8,1.0000,5,5,True,False,945,12,0.033684,7298,786,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,21.7,[],2026-08-15T12:55:50,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,1,1.0000,5,5,True,False,1131,12,0.061362,16154,860,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,26.0,[],2026-08-15T12:56:15,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,2,1.0000,5,5,True,False,1134,12,0.061362,16154,860,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,25.4,[],2026-08-15T12:56:41,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,3,1.0000,5,5,True,False,1059,12,0.064179,16273,1024,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,26.8,[],2026-08-15T12:57:08,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,4,1.0000,5,5,True,False,1131,12,0.061362,16154,860,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,27.1,[],2026-08-15T12:57:35,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,5,1.0000,5,5,True,False,1131,12,0.061362,16154,860,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,28.4,[],2026-08-15T12:58:03,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,6,1.0000,5,5,True,False,1131,12,0.061362,16154,860,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,25.9,[],2026-08-15T12:58:29,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,7,1.0000,5,5,True,False,1035,12,0.061989,16273,878,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,25.3,[],2026-08-15T12:58:54,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,8,1.0000,5,5,True,False,1059,12,0.064179,16273,1024,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,28.8,[],2026-08-15T12:59:23,claude-sonnet-4-5,bedrock,text
prog18_caesar_cipher,1,1.0000,5,5,True,False,1631,12,0.042795,9760,901,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,21.9,[],2026-08-15T12:59:45,claude-sonnet-4-5,bedrock,text
prog18_caesar_cipher,2,1.0000,5,5,True,False,1665,12,0.043098,9761,921,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,23.1,[],2026-08-15T13:00:08,claude-sonnet-4-5,bedrock,text
prog18_caesar_cipher,3,1.0000,5,5,True,False,1434,12,0.042396,9797,867,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,21.5,[],2026-08-15T13:00:30,claude-sonnet-4-5,bedrock,text
prog18_caesar_cipher,4,1.0000,5,5,True,False,1640,12,0.042813,9761,902,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,20.9,[],2026-08-15T13:00:51,claude-sonnet-4-5,bedrock,text
