binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,726,12,0.034641,7172,875,databricks-claude-sonnet-4-5,databricks,19.3,[],2026-08-15T12:00:13,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,693,12,0.035391,7172,925,databricks-claude-sonnet-4-5,databricks,19.3,[],2026-08-15T12:00:32,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,726,12,0.034641,7172,875,databricks-claude-sonnet-4-5,databricks,20.3,[],2026-08-15T12:00:53,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,4,0.8000,4,5,True,False,692,12,0.035091,7172,905,databricks-claude-sonnet-4-5,databricks,18.6,[],2026-08-15T12:01:11,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,693,12,0.035391,7172,925,databricks-claude-sonnet-4-5,databricks,20.5,[],2026-08-15T12:01:32,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,6,0.8000,4,5,True,False,692,12,0.035091,7172,905,databricks-claude-sonnet-4-5,databricks,18.9,[],2026-08-15T12:01:51,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,7,0.8000,4,5,True,False,626,12,0.035421,7172,927,databricks-claude-sonnet-4-5,databricks,20.0,[],2026-08-15T12:02:11,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,8,0.8000,4,5,True,False,626,12,0.035421,7172,927,databricks-claude-sonnet-4-5,databricks,20.0,[],2026-08-15T12:02:31,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,1,1.0000,5,5,True,False,1103,12,0.039915,7485,1164,databricks-claude-sonnet-4-5,databricks,23.9,[],2026-08-15T12:02:55,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,2,1.0000,5,5,True,False,1305,12,0.057591,12162,1407,databricks-claude-sonnet-4-5,databricks,29.1,[],2026-08-15T12:03:24,claude-sonnet-4-5,databricks,native
