binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,902,12,0.002762,9544,2217,openai.gpt-oss-120b-1:0,bedrock,32.2,[],2026-08-14T20:02:24,gpt-oss-120b,bedrock,native
prog16_word_count_fsm,2,0.8000,4,5,True,False,824,12,0.005351,19820,3964,openai.gpt-oss-120b-1:0,bedrock,43.8,[],2026-08-14T20:03:08,gpt-oss-120b,bedrock,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,638,12,0.001062,3424,914,openai.gpt-oss-120b-1:0,bedrock,10.5,[],2026-08-14T20:03:19,gpt-oss-120b,bedrock,native
prog16_word_count_fsm,4,1.0000,5,5,True,False,902,12,0.002770,9544,2230,openai.gpt-oss-120b-1:0,bedrock,37.9,[],2026-08-14T20:03:57,gpt-oss-120b,bedrock,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,542,12,0.001272,3424,1264,openai.gpt-oss-120b-1:0,bedrock,10.6,[],2026-08-14T20:04:07,gpt-oss-120b,bedrock,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,548,12,0.001079,3424,943,openai.gpt-oss-120b-1:0,bedrock,9.7,[],2026-08-14T20:04:17,gpt-oss-120b,bedrock,native
prog16_word_count_fsm,7,0.0000,0,5,False,False,519,12,0.001026,3424,854,openai.gpt-oss-120b-1:0,bedrock,8.8,harness_error: IndexError: list index out of range,2026-08-14T20:04:26,gpt-oss-120b,bedrock,native
prog16_word_count_fsm,8,0.8000,4,5,True,False,718,12,0.002173,3424,2765,openai.gpt-oss-120b-1:0,bedrock,20.5,[],2026-08-14T20:04:46,gpt-oss-120b,bedrock,native
prog17_whitespace_trim,1,1.0000,5,5,True,False,934,12,0.006701,19311,6341,openai.gpt-oss-120b-1:0,bedrock,77.3,[],2026-08-14T20:06:04,gpt-oss-120b,bedrock,native
prog17_whitespace_trim,2,1.0000,5,5,True,False,1041,12,0.019438,63480,16527,openai.gpt-oss-120b-1:0,bedrock,109.2,[],2026-08-14T20:07:53,gpt-oss-120b,bedrock,native
prog17_whitespace_trim,3,0.0000,0,5,False,False,1162,12,0.003115,3739,4257,openai.gpt-oss-120b-1:0,bedrock,17.0,"/w/candidate.c:41:1: error: extraneous closing brace ('}')
   41 | }
      | ^
1 error generated.
",2026-08-14T20:08:10,gpt-oss-120b,bedrock,native
prog17_whitespace_trim,4,1.0000,5,5,True,False,979,12,0.007892,19763,8212,openai.gpt-oss-120b-1:0,bedrock,33.7,[],2026-08-14T20:08:44,gpt-oss-120b,bedrock,native
prog17_whitespace_trim,5,1.0000,5,5,True,False,1330,12,0.003559,6456,4317,openai.gpt-oss-120b-1:0,bedrock,28.4,[],2026-08-14T20:09:12,gpt-oss-120b,bedrock,native
prog17_whitespace_trim,6,1.0000,5,5,True,False,831,12,0.007283,15100,8363,openai.gpt-oss-120b-1:0,bedrock,51.1,[],2026-08-14T20:10:03,gpt-oss-120b,bedrock,native
prog17_whitespace_trim,7,1.0000,5,5,True,False,746,12,0.005049,12154,5376,openai.gpt-oss-120b-1:0,bedrock,37.2,[],2026-08-14T20:10:40,gpt-oss-120b,bedrock,native
prog17_whitespace_trim,8,1.0000,5,5,True,False,1656,12,0.011015,21224,13052,openai.gpt-oss-120b-1:0,bedrock,72.1,[],2026-08-14T20:11:52,gpt-oss-120b,bedrock,native
prog18_caesar_cipher,1,0.8000,4,5,True,False,787,12,0.002679,8018,2461,openai.gpt-oss-120b-1:0,bedrock,24.0,[],2026-08-14T20:12:16,gpt-oss-120b,bedrock,native
prog18_caesar_cipher,2,0.8000,4,5,True,False,727,12,0.002253,4531,2623,openai.gpt-oss-120b-1:0,bedrock,40.1,[],2026-08-14T20:12:56,gpt-oss-120b,bedrock,native
prog18_caesar_cipher,3,0.8000,4,5,True,False,727,12,0.002255,4531,2626,openai.gpt-oss-120b-1:0,bedrock,44.4,[],2026-08-14T20:13:41,gpt-oss-120b,bedrock,native
prog18_caesar_cipher,4,0.8000,4,5,True,False,727,12,0.002253,4531,2623,openai.gpt-oss-120b-1:0,bedrock,40.6,[],2026-08-14T20:14:22,gpt-oss-120b,bedrock,native
prog18_caesar_cipher,5,1.0000,5,5,True,False,1693,12,0.003280,8018,3463,openai.gpt-oss-120b-1:0,bedrock,55.8,[],2026-08-14T20:15:17,gpt-oss-120b,bedrock,native
prog18_caesar_cipher,6,1.0000,5,5,True,False,1250,12,0.006741,23205,5433,openai.gpt-oss-120b-1:0,bedrock,34.6,[],2026-08-14T20:15:52,gpt-oss-120b,bedrock,native
prog18_caesar_cipher,7,1.0000,5,5,True,False,751,12,0.005964,18457,5325,openai.gpt-oss-120b-1:0,bedrock,29.3,[],2026-08-14T20:16:21,gpt-oss-120b,bedrock,native
prog18_caesar_cipher,8,1.0000,5,5,True,False,817,12,0.005173,16879,4402,openai.gpt-oss-120b-1:0,bedrock,40.2,[],2026-08-14T20:17:01,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,1,1.0000,5,5,True,False,1219,12,0.004371,4306,6208,openai.gpt-oss-120b-1:0,bedrock,39.2,[],2026-08-14T20:17:41,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,2,1.0000,5,5,True,False,1044,12,0.002213,4306,2611,openai.gpt-oss-120b-1:0,bedrock,40.6,[],2026-08-14T20:18:21,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,3,1.0000,5,5,True,False,926,12,0.005951,11643,7007,openai.gpt-oss-120b-1:0,bedrock,35.8,[],2026-08-14T20:18:57,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,4,1.0000,5,5,True,False,778,12,0.005188,8379,6552,openai.gpt-oss-120b-1:0,bedrock,41.0,[],2026-08-14T20:19:38,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,5,1.0000,5,5,True,False,831,12,0.004727,8335,5794,openai.gpt-oss-120b-1:0,bedrock,36.8,[],2026-08-14T20:20:15,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,6,1.0000,5,5,True,False,996,12,0.004814,8500,5898,openai.gpt-oss-120b-1:0,bedrock,23.0,[],2026-08-14T20:20:38,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,7,1.0000,5,5,True,False,993,12,0.006990,16215,7597,openai.gpt-oss-120b-1:0,bedrock,32.4,[],2026-08-14T20:21:10,gpt-oss-120b,bedrock,native
