binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,634,12,0.001282,3389,1290,openai.gpt-oss-120b-1:0,bedrock,19.0,[],2026-08-15T02:03:40,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,2,1.0000,5,5,True,False,614,12,0.001192,3389,1139,openai.gpt-oss-120b-1:0,bedrock,7.7,[],2026-08-15T02:03:47,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,3,1.0000,5,5,True,False,634,12,0.001281,3389,1287,openai.gpt-oss-120b-1:0,bedrock,27.5,[],2026-08-15T02:04:15,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,4,1.0000,5,5,True,False,565,12,0.001265,3389,1261,openai.gpt-oss-120b-1:0,bedrock,12.3,[],2026-08-15T02:04:27,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,5,0.8000,4,5,True,False,799,12,0.001498,3389,1649,openai.gpt-oss-120b-1:0,bedrock,14.3,[],2026-08-15T02:04:41,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,6,1.0000,5,5,True,False,517,12,0.001018,3389,849,openai.gpt-oss-120b-1:0,bedrock,8.5,[],2026-08-15T02:04:50,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,7,1.0000,5,5,True,False,617,12,0.001443,3389,1558,openai.gpt-oss-120b-1:0,bedrock,14.4,[],2026-08-15T02:05:04,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,8,1.0000,5,5,True,False,691,12,0.001279,3389,1284,openai.gpt-oss-120b-1:0,bedrock,12.1,[],2026-08-15T02:05:16,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,1,1.0000,5,5,True,False,1244,12,0.002972,3704,4028,openai.gpt-oss-120b-1:0,bedrock,24.2,[],2026-08-15T02:05:41,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,2,1.0000,5,5,True,False,1132,12,0.003391,6445,4041,openai.gpt-oss-120b-1:0,bedrock,54.8,[],2026-08-15T02:06:35,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,3,1.0000,5,5,True,False,1492,12,0.004667,13305,4452,openai.gpt-oss-120b-1:0,bedrock,32.2,[],2026-08-15T02:07:08,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,4,1.0000,5,5,True,False,1533,12,0.002829,4746,3529,openai.gpt-oss-120b-1:0,bedrock,50.0,[],2026-08-15T02:07:58,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,5,1.0000,5,5,True,False,1495,12,0.002948,5439,3554,openai.gpt-oss-120b-1:0,bedrock,29.2,[],2026-08-15T02:08:27,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,6,0.2000,1,5,True,False,153,12,0.002464,7265,2291,openai.gpt-oss-120b-1:0,bedrock,21.5,[],2026-08-15T02:08:48,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,7,0.2000,1,5,True,False,179,12,0.001759,5009,1679,openai.gpt-oss-120b-1:0,bedrock,15.0,[],2026-08-15T02:09:03,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,8,1.0000,5,5,True,False,1461,12,0.003375,6445,4014,openai.gpt-oss-120b-1:0,bedrock,59.7,[],2026-08-15T02:10:03,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,1,0.8000,4,5,True,False,1348,12,0.002348,4496,2790,openai.gpt-oss-120b-1:0,bedrock,32.6,[],2026-08-15T02:10:36,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,2,1.0000,5,5,True,False,1172,12,0.002180,4584,2488,openai.gpt-oss-120b-1:0,bedrock,11.3,[],2026-08-15T02:10:47,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,3,0.2000,1,5,True,False,1197,12,0.002135,4496,2434,openai.gpt-oss-120b-1:0,bedrock,14.1,[],2026-08-15T02:11:01,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,4,0.8000,4,5,True,False,920,12,0.001783,4496,1848,openai.gpt-oss-120b-1:0,bedrock,10.5,[],2026-08-15T02:11:12,gpt-oss-120b,bedrock,text
