binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog21_date_validator,1,1.0000,5,5,True,False,1141,12,0.014163,22359,14082,databricks-gpt-oss-120b,databricks,79.9,[],2026-08-15T12:54:28,gpt-oss-120b,databricks,native
prog21_date_validator,2,1.0000,5,5,True,False,1421,12,0.009846,15065,9909,databricks-gpt-oss-120b,databricks,119.4,[],2026-08-15T12:56:28,gpt-oss-120b,databricks,native
prog21_date_validator,3,1.0000,5,5,True,False,1198,12,0.010252,9357,11900,databricks-gpt-oss-120b,databricks,472.3,[],2026-08-15T13:04:20,gpt-oss-120b,databricks,native
prog32_prime_factorization,1,0.0000,0,5,False,False,1369,12,0.006254,6535,7053,databricks-gpt-oss-120b,databricks,163.9,"/w/candidate.c:62:1: error: extraneous closing brace ('}')
   62 | }
      | ^
1 error generated.
",2026-08-15T13:07:04,gpt-oss-120b,databricks,native
prog32_prime_factorization,2,0.0000,0,5,False,True,0,12,0.006593,3539,8272,databricks-gpt-oss-120b,databricks,90.4,nessun candidato prodotto,2026-08-15T13:08:34,gpt-oss-120b,databricks,native
prog32_prime_factorization,3,1.0000,5,5,True,False,1904,12,0.010394,11815,11483,databricks-gpt-oss-120b,databricks,248.8,[],2026-08-15T13:12:43,gpt-oss-120b,databricks,native
prog35_perfect_numbers,1,0.8000,4,5,True,False,998,12,0.007576,6708,8845,databricks-gpt-oss-120b,databricks,152.9,[],2026-08-15T13:15:16,gpt-oss-120b,databricks,native
prog35_perfect_numbers,2,1.0000,5,5,True,False,1210,12,0.006799,6868,7727,databricks-gpt-oss-120b,databricks,79.7,[],2026-08-15T13:16:36,gpt-oss-120b,databricks,native
prog35_perfect_numbers,3,0.0000,0,5,False,True,0,12,0.006613,3663,8270,databricks-gpt-oss-120b,databricks,95.3,nessun candidato prodotto,2026-08-15T13:18:11,gpt-oss-120b,databricks,native
prog36_pascal_triangle,1,1.0000,5,5,True,False,1317,12,0.007813,7290,9029,databricks-gpt-oss-120b,databricks,97.3,[],2026-08-15T13:19:48,gpt-oss-120b,databricks,native
prog36_pascal_triangle,2,1.0000,5,5,True,False,907,12,0.009461,11373,10297,databricks-gpt-oss-120b,databricks,176.0,[],2026-08-15T13:22:44,gpt-oss-120b,databricks,native
prog36_pascal_triangle,3,0.4000,2,5,True,False,1445,12,0.011354,14038,12260,databricks-gpt-oss-120b,databricks,201.7,[],2026-08-15T13:26:06,gpt-oss-120b,databricks,native
