binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,513,12,0.001028,3396,579,databricks-gpt-oss-120b,databricks,7.4,[],2026-08-15T03:39:47,gpt-oss-120b,databricks,text
prog16_word_count_fsm,2,0.0000,0,5,True,False,757,12,0.000434,1039,343,databricks-gpt-oss-120b,databricks,4.4,[],2026-08-15T03:39:52,gpt-oss-120b,databricks,text
prog16_word_count_fsm,3,1.0000,5,5,True,False,499,12,0.001144,3396,740,databricks-gpt-oss-120b,databricks,6.8,[],2026-08-15T03:39:58,gpt-oss-120b,databricks,text
prog16_word_count_fsm,4,1.0000,5,5,True,False,542,12,0.001279,3396,927,databricks-gpt-oss-120b,databricks,7.5,[],2026-08-15T03:40:06,gpt-oss-120b,databricks,text
prog16_word_count_fsm,5,1.0000,5,5,True,False,513,12,0.001595,3396,1366,databricks-gpt-oss-120b,databricks,9.3,[],2026-08-15T03:40:15,gpt-oss-120b,databricks,text
prog16_word_count_fsm,6,1.0000,5,5,True,False,542,12,0.001301,3396,958,databricks-gpt-oss-120b,databricks,7.6,[],2026-08-15T03:40:23,gpt-oss-120b,databricks,text
prog16_word_count_fsm,7,1.0000,5,5,True,False,503,12,0.001198,3396,815,databricks-gpt-oss-120b,databricks,7.3,[],2026-08-15T03:40:30,gpt-oss-120b,databricks,text
prog16_word_count_fsm,8,1.0000,5,5,True,False,542,12,0.001301,3396,958,databricks-gpt-oss-120b,databricks,7.5,[],2026-08-15T03:40:38,gpt-oss-120b,databricks,text
prog17_whitespace_trim,1,1.0000,5,5,True,False,1508,12,0.003477,3711,3902,databricks-gpt-oss-120b,databricks,18.6,[],2026-08-15T03:40:56,gpt-oss-120b,databricks,text
prog17_whitespace_trim,2,1.0000,5,5,True,False,1289,12,0.003278,3711,3625,databricks-gpt-oss-120b,databricks,17.4,[],2026-08-15T03:41:14,gpt-oss-120b,databricks,text
prog17_whitespace_trim,3,1.0000,5,5,True,False,1461,12,0.002950,3711,3169,databricks-gpt-oss-120b,databricks,15.7,[],2026-08-15T03:41:29,gpt-oss-120b,databricks,text
prog17_whitespace_trim,4,1.0000,5,5,True,False,1289,12,0.003278,3711,3625,databricks-gpt-oss-120b,databricks,17.4,[],2026-08-15T03:41:47,gpt-oss-120b,databricks,text
prog17_whitespace_trim,5,1.0000,5,5,True,False,1356,12,0.003695,3711,4205,databricks-gpt-oss-120b,databricks,20.1,[],2026-08-15T03:42:07,gpt-oss-120b,databricks,text
prog17_whitespace_trim,6,1.0000,5,5,True,False,1134,12,0.003425,3711,3829,databricks-gpt-oss-120b,databricks,18.2,[],2026-08-15T03:42:25,gpt-oss-120b,databricks,text
