binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,485,12,0.004815,6227,461,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.6,[],2026-08-15T06:50:35,llama-3.3-70b,bedrock,text
prog16_word_count_fsm,2,1.0000,5,5,True,False,485,12,0.004807,6227,449,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.5,[],2026-08-15T06:50:43,llama-3.3-70b,bedrock,text
prog16_word_count_fsm,3,1.0000,5,5,True,False,487,12,0.004772,6194,434,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.2,[],2026-08-15T06:50:51,llama-3.3-70b,bedrock,text
prog16_word_count_fsm,4,1.0000,5,5,True,False,485,12,0.004821,6233,463,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.4,[],2026-08-15T06:51:00,llama-3.3-70b,bedrock,text
prog16_word_count_fsm,5,1.0000,5,5,True,False,483,12,0.004831,6242,468,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.4,[],2026-08-15T06:51:08,llama-3.3-70b,bedrock,text
prog16_word_count_fsm,6,1.0000,5,5,True,False,487,12,0.004854,6230,511,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.6,[],2026-08-15T06:51:17,llama-3.3-70b,bedrock,text
prog16_word_count_fsm,7,1.0000,5,5,True,False,487,12,0.004841,6226,497,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.1,[],2026-08-15T06:51:26,llama-3.3-70b,bedrock,text
prog16_word_count_fsm,8,1.0000,5,5,True,False,487,12,0.004917,6287,542,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.1,[],2026-08-15T06:51:35,llama-3.3-70b,bedrock,text
prog17_whitespace_trim,1,0.4000,2,5,True,False,523,12,0.005364,6851,599,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.4,[],2026-08-15T06:51:45,llama-3.3-70b,bedrock,text
prog17_whitespace_trim,2,0.4000,2,5,True,False,586,12,0.007795,10203,623,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.4,[],2026-08-15T06:51:56,llama-3.3-70b,bedrock,text
prog17_whitespace_trim,3,0.4000,2,5,True,False,574,12,0.005301,6807,556,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.4,[],2026-08-15T06:52:06,llama-3.3-70b,bedrock,text
prog17_whitespace_trim,4,0.4000,2,5,True,False,563,12,0.007919,10203,795,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.4,[],2026-08-15T06:52:18,llama-3.3-70b,bedrock,text
prog17_whitespace_trim,5,0.4000,2,5,True,False,609,12,0.005463,6911,676,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.2,[],2026-08-15T06:52:28,llama-3.3-70b,bedrock,text
prog17_whitespace_trim,6,0.4000,2,5,True,False,436,12,0.005305,6865,503,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.4,[],2026-08-15T06:52:37,llama-3.3-70b,bedrock,text
prog17_whitespace_trim,7,0.4000,2,5,True,False,518,12,0.005421,6915,614,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.9,[],2026-08-15T06:52:47,llama-3.3-70b,bedrock,text
prog17_whitespace_trim,8,0.4000,2,5,True,False,504,12,0.007892,10203,758,us.meta.llama3-3-70b-instruct-v1:0,bedrock,12.3,[],2026-08-15T06:52:59,llama-3.3-70b,bedrock,text
prog18_caesar_cipher,1,0.0000,0,5,True,False,563,12,0.006383,8306,559,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.3,[],2026-08-15T06:53:09,llama-3.3-70b,bedrock,text
prog18_caesar_cipher,2,0.0000,0,5,True,False,677,12,0.006351,8306,515,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.3,[],2026-08-15T06:53:18,llama-3.3-70b,bedrock,text
prog18_caesar_cipher,3,0.8000,4,5,True,False,546,12,0.006450,8365,593,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.8,[],2026-08-15T06:53:28,llama-3.3-70b,bedrock,text
prog18_caesar_cipher,4,0.0000,0,5,True,False,540,12,0.006383,8338,527,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.5,[],2026-08-15T06:53:36,llama-3.3-70b,bedrock,text
prog18_caesar_cipher,5,0.0000,0,5,True,False,553,12,0.009488,12484,694,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.4,[],2026-08-15T06:53:48,llama-3.3-70b,bedrock,text
prog18_caesar_cipher,6,0.0000,0,5,True,False,523,12,0.006467,8337,645,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.4,[],2026-08-15T06:53:57,llama-3.3-70b,bedrock,text
prog18_caesar_cipher,7,0.0000,0,5,True,False,553,12,0.006422,8331,589,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.8,[],2026-08-15T06:54:07,llama-3.3-70b,bedrock,text
prog18_caesar_cipher,8,0.0000,0,5,True,False,521,12,0.006322,8321,459,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.3,[],2026-08-15T06:54:16,llama-3.3-70b,bedrock,text
prog19_palindrome_checker,1,0.8000,4,5,True,False,467,12,0.006097,7992,476,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.6,[],2026-08-15T06:54:25,llama-3.3-70b,bedrock,text
prog19_palindrome_checker,2,0.8000,4,5,True,False,588,12,0.006051,7934,470,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.3,[],2026-08-15T06:54:33,llama-3.3-70b,bedrock,text
prog19_palindrome_checker,3,0.8000,4,5,True,False,467,12,0.009032,11925,620,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.6,[],2026-08-15T06:54:44,llama-3.3-70b,bedrock,text
prog19_palindrome_checker,4,0.8000,4,5,True,False,516,12,0.006111,7942,545,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.6,[],2026-08-15T06:54:53,llama-3.3-70b,bedrock,text
prog19_palindrome_checker,5,0.8000,4,5,True,False,587,12,0.006152,7999,545,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.4,[],2026-08-15T06:55:03,llama-3.3-70b,bedrock,text
prog19_palindrome_checker,6,0.8000,4,5,True,False,488,12,0.006081,7934,512,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.9,[],2026-08-15T06:55:11,llama-3.3-70b,bedrock,text
prog19_palindrome_checker,7,0.8000,4,5,True,False,588,12,0.006117,7990,506,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.2,[],2026-08-15T06:55:21,llama-3.3-70b,bedrock,text
prog19_palindrome_checker,8,0.8000,4,5,True,False,588,12,0.006105,7986,493,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.6,[],2026-08-15T06:55:29,llama-3.3-70b,bedrock,text
prog20_anagram_checker,1,1.0000,5,5,True,False,1113,12,0.006241,7987,681,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.8,[],2026-08-15T06:55:39,llama-3.3-70b,bedrock,text
prog20_anagram_checker,2,1.0000,5,5,True,False,980,12,0.009197,11978,795,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.8,[],2026-08-15T06:55:51,llama-3.3-70b,bedrock,text
prog20_anagram_checker,3,1.0000,5,5,True,False,1113,12,0.006246,7991,684,us.meta.llama3-3-70b-instruct-v1:0,bedrock,13.5,[],2026-08-15T06:56:04,llama-3.3-70b,bedrock,text
prog20_anagram_checker,4,1.0000,5,5,True,False,1113,12,0.006245,7991,683,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.2,[],2026-08-15T06:56:16,llama-3.3-70b,bedrock,text
prog20_anagram_checker,5,1.0000,5,5,True,False,1113,12,0.006245,7991,683,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.5,[],2026-08-15T06:56:25,llama-3.3-70b,bedrock,text
prog20_anagram_checker,6,1.0000,5,5,True,False,983,12,0.009258,11994,865,us.meta.llama3-3-70b-instruct-v1:0,bedrock,13.0,[],2026-08-15T06:56:38,llama-3.3-70b,bedrock,text
prog20_anagram_checker,7,1.0000,5,5,True,False,981,12,0.009197,11978,795,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.4,[],2026-08-15T06:56:49,llama-3.3-70b,bedrock,text
prog20_anagram_checker,8,1.0000,5,5,True,False,983,12,0.009186,11964,795,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.0,[],2026-08-15T06:57:00,llama-3.3-70b,bedrock,text
prog21_date_validator,1,0.6000,3,5,True,False,679,12,0.010465,13830,705,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.9,[],2026-08-15T06:57:12,llama-3.3-70b,bedrock,text
prog21_date_validator,2,0.6000,3,5,True,False,628,12,0.010531,13855,771,us.meta.llama3-3-70b-instruct-v1:0,bedrock,13.1,[],2026-08-15T06:57:26,llama-3.3-70b,bedrock,text
prog21_date_validator,3,0.6000,3,5,True,False,580,12,0.010437,13837,659,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.6,[],2026-08-15T06:57:37,llama-3.3-70b,bedrock,text
prog21_date_validator,4,0.4000,2,5,True,False,513,12,0.010488,13871,695,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.4,[],2026-08-15T06:57:48,llama-3.3-70b,bedrock,text
prog21_date_validator,5,0.6000,3,5,True,False,579,12,0.010482,13823,735,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.7,[],2026-08-15T06:58:00,llama-3.3-70b,bedrock,text
prog21_date_validator,6,0.6000,3,5,True,False,799,12,0.010553,13862,795,us.meta.llama3-3-70b-instruct-v1:0,bedrock,13.3,[],2026-08-15T06:58:13,llama-3.3-70b,bedrock,text
prog21_date_validator,7,0.6000,3,5,True,False,958,12,0.010450,13718,796,us.meta.llama3-3-70b-instruct-v1:0,bedrock,12.0,[],2026-08-15T06:58:25,llama-3.3-70b,bedrock,text
prog21_date_validator,8,0.6000,3,5,True,False,782,12,0.010606,13861,869,us.meta.llama3-3-70b-instruct-v1:0,bedrock,12.3,[],2026-08-15T06:58:38,llama-3.3-70b,bedrock,text
prog22_snake_camel_convert,1,0.0000,0,5,False,False,887,12,0.007966,10400,664,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.1,"/w/candidate.c:9:26: error: call to undeclared library function 'toupper' with type 'int (int)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
    9 |             str[i + 1] = toupper(str[i + 1]);
      |                          ^
/w/candidate.c:9",2026-08-15T06:58:48,llama-3.3-70b,bedrock,text
prog22_snake_camel_convert,2,0.0000,0,5,False,False,903,12,0.007944,10390,643,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.4,"/w/candidate.c:10:26: error: call to undeclared library function 'toupper' with type 'int (int)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
   10 |             str[i + 1] = toupper(str[i + 1]);
      |                          ^
/w/candidate.c:",2026-08-15T06:58:58,llama-3.3-70b,bedrock,text
prog22_snake_camel_convert,3,0.0000,0,5,False,False,921,12,0.007985,10397,693,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.5,"/w/candidate.c:10:26: error: call to undeclared library function 'toupper' with type 'int (int)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
   10 |             str[i + 1] = toupper(str[i + 1]);
      |                          ^
/w/candidate.c:",2026-08-15T06:59:09,llama-3.3-70b,bedrock,text
prog22_snake_camel_convert,4,0.0000,0,5,False,False,921,12,0.007941,10387,642,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.3,"/w/candidate.c:10:26: error: call to undeclared library function 'toupper' with type 'int (int)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
   10 |             str[i + 1] = toupper(str[i + 1]);
      |                          ^
/w/candidate.c:",2026-08-15T06:59:18,llama-3.3-70b,bedrock,text
prog22_snake_camel_convert,5,0.0000,0,5,False,False,1022,12,0.007944,10357,676,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.1,"/w/candidate.c:11:30: error: call to undeclared library function 'toupper' with type 'int (int)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
   11 |                 str[i + 1] = toupper(str[i + 1]);
      |                              ^
/w/cand",2026-08-15T06:59:29,llama-3.3-70b,bedrock,text
prog22_snake_camel_convert,6,0.0000,0,5,False,False,985,12,0.007957,10387,665,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.8,"/w/candidate.c:9:22: error: call to undeclared library function 'toupper' with type 'int (int)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
    9 |             str[i] = toupper(str[i + 1]);
      |                      ^
/w/candidate.c:9:22: not",2026-08-15T06:59:40,llama-3.3-70b,bedrock,text
prog22_snake_camel_convert,7,0.0000,0,5,False,False,986,12,0.007957,10387,665,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.0,"/w/candidate.c:9:22: error: call to undeclared library function 'toupper' with type 'int (int)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
    9 |             str[i] = toupper(str[i + 1]);
      |                      ^
/w/candidate.c:9:22: not",2026-08-15T06:59:50,llama-3.3-70b,bedrock,text
prog22_snake_camel_convert,8,0.0000,0,5,False,False,986,12,0.007980,10391,693,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.5,"/w/candidate.c:9:22: error: call to undeclared library function 'toupper' with type 'int (int)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
    9 |             str[i] = toupper(str[i + 1]);
      |                      ^
/w/candidate.c:9:22: not",2026-08-15T07:00:01,llama-3.3-70b,bedrock,text
prog23_longest_common_prefix,1,0.6000,3,5,True,False,371,12,0.005820,7628,455,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.0,[],2026-08-15T07:00:10,llama-3.3-70b,bedrock,text
prog23_longest_common_prefix,2,0.6000,3,5,True,False,371,12,0.005780,7594,434,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.9,[],2026-08-15T07:00:19,llama-3.3-70b,bedrock,text
prog23_longest_common_prefix,3,0.6000,3,5,True,False,371,12,0.005800,7603,453,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.4,[],2026-08-15T07:00:29,llama-3.3-70b,bedrock,text
prog23_longest_common_prefix,4,0.6000,3,5,True,False,370,12,0.005857,7603,532,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.0,[],2026-08-15T07:00:38,llama-3.3-70b,bedrock,text
prog23_longest_common_prefix,5,0.6000,3,5,True,False,371,12,0.005808,7606,461,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.5,[],2026-08-15T07:00:48,llama-3.3-70b,bedrock,text
prog23_longest_common_prefix,6,0.6000,3,5,True,False,462,12,0.005919,7665,556,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.9,[],2026-08-15T07:01:00,llama-3.3-70b,bedrock,text
prog23_longest_common_prefix,7,0.2000,1,5,True,False,423,12,0.005841,7613,499,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.3,"[""'utf-8' codec can't decode byte 0x80 in position 2: invalid start byte"", ""'utf-8' codec can't decode byte 0x80 in position 2: invalid start byte""]",2026-08-15T07:01:10,llama-3.3-70b,bedrock,text
prog23_longest_common_prefix,8,0.6000,3,5,True,False,371,12,0.008982,11754,721,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.4,[],2026-08-15T07:01:22,llama-3.3-70b,bedrock,text
prog24_query_string_parser,1,0.2000,1,5,True,False,366,12,0.006188,7848,747,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.0,[],2026-08-15T07:01:33,llama-3.3-70b,bedrock,text
prog24_query_string_parser,2,0.0000,0,5,True,False,955,12,0.010893,14289,840,us.meta.llama3-3-70b-instruct-v1:0,bedrock,14.5,"[""'utf-8' codec can't decode byte 0xa0 in position 8: invalid start byte"", ""'utf-8' codec can't decode byte 0x80 in position 5: invalid start byte""]",2026-08-15T07:01:47,llama-3.3-70b,bedrock,text
prog24_query_string_parser,3,0.0000,0,5,True,False,651,12,0.005975,7788,510,us.meta.llama3-3-70b-instruct-v1:0,bedrock,8.7,[],2026-08-15T07:01:56,llama-3.3-70b,bedrock,text
prog24_query_string_parser,4,0.2000,1,5,True,False,642,12,0.006078,7831,610,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.8,[],2026-08-15T07:02:07,llama-3.3-70b,bedrock,text
prog24_query_string_parser,5,0.0000,0,5,True,False,1804,12,0.011418,14265,1593,us.meta.llama3-3-70b-instruct-v1:0,bedrock,17.0,[],2026-08-15T07:02:24,llama-3.3-70b,bedrock,text
prog24_query_string_parser,6,0.2000,1,5,True,False,366,12,0.006022,7778,586,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.7,[],2026-08-15T07:02:33,llama-3.3-70b,bedrock,text
prog24_query_string_parser,7,0.0000,0,5,True,False,1309,12,0.011174,14265,1255,us.meta.llama3-3-70b-instruct-v1:0,bedrock,14.6,"[""'utf-8' codec can't decode byte 0xa0 in position 8: invalid start byte""]",2026-08-15T07:02:48,llama-3.3-70b,bedrock,text
prog24_query_string_parser,8,0.2000,1,5,True,False,366,12,0.006209,7851,772,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.8,[],2026-08-15T07:02:59,llama-3.3-70b,bedrock,text
prog25_balanced_multitype,1,1.0000,5,5,True,False,941,12,0.006474,8379,613,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.2,[],2026-08-15T07:03:08,llama-3.3-70b,bedrock,text
prog25_balanced_multitype,2,1.0000,5,5,True,False,899,12,0.006530,8393,677,us.meta.llama3-3-70b-instruct-v1:0,bedrock,10.3,[],2026-08-15T07:03:18,llama-3.3-70b,bedrock,text
prog25_balanced_multitype,3,0.8000,4,5,True,False,803,12,0.006426,8400,525,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.7,[],2026-08-15T07:03:30,llama-3.3-70b,bedrock,text
prog25_balanced_multitype,4,1.0000,5,5,True,False,840,12,0.006421,8385,533,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.0,[],2026-08-15T07:03:39,llama-3.3-70b,bedrock,text
prog25_balanced_multitype,5,0.8000,4,5,True,False,803,12,0.006463,8393,584,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.9,[],2026-08-15T07:03:49,llama-3.3-70b,bedrock,text
prog25_balanced_multitype,6,1.0000,5,5,True,False,881,12,0.009526,12508,722,us.meta.llama3-3-70b-instruct-v1:0,bedrock,12.2,[],2026-08-15T07:04:01,llama-3.3-70b,bedrock,text
prog25_balanced_multitype,7,0.8000,4,5,True,False,854,12,0.006561,8403,710,us.meta.llama3-3-70b-instruct-v1:0,bedrock,12.5,[],2026-08-15T07:04:14,llama-3.3-70b,bedrock,text
prog25_balanced_multitype,8,1.0000,5,5,True,False,915,12,0.009572,12548,746,us.meta.llama3-3-70b-instruct-v1:0,bedrock,12.3,[],2026-08-15T07:04:26,llama-3.3-70b,bedrock,text
prog26_wildcard_match,1,0.2000,1,5,True,False,467,12,0.006384,8263,603,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.3,[],2026-08-15T07:04:37,llama-3.3-70b,bedrock,text
prog26_wildcard_match,2,0.6000,3,5,True,False,561,12,0.006295,8256,487,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.2,[],2026-08-15T07:04:49,llama-3.3-70b,bedrock,text
prog26_wildcard_match,3,0.4000,2,5,True,False,506,12,0.009271,12294,583,us.meta.llama3-3-70b-instruct-v1:0,bedrock,11.5,[],2026-08-15T07:05:00,llama-3.3-70b,bedrock,text
prog26_wildcard_match,4,0.0000,0,5,True,False,773,12,0.009491,12294,888,us.meta.llama3-3-70b-instruct-v1:0,bedrock,14.6,[],2026-08-15T07:05:15,llama-3.3-70b,bedrock,text
prog26_wildcard_match,5,0.6000,3,5,True,False,561,12,0.006295,8256,487,us.meta.llama3-3-70b-instruct-v1:0,bedrock,9.5,[],2026-08-15T07:05:24,llama-3.3-70b,bedrock,text
