binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,488,12,0.009758,14499,588,databricks-meta-llama-3-3-70b-instruct,databricks,14.8,[],2026-08-15T05:51:11,llama-3.3-70b,databricks,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,471,12,0.008590,12933,461,databricks-meta-llama-3-3-70b-instruct,databricks,11.8,[],2026-08-15T05:51:23,llama-3.3-70b,databricks,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,485,12,0.013185,20514,487,databricks-meta-llama-3-3-70b-instruct,databricks,14.1,[],2026-08-15T05:51:37,llama-3.3-70b,databricks,native
prog16_word_count_fsm,4,1.0000,5,5,True,False,489,12,0.009366,14499,370,databricks-meta-llama-3-3-70b-instruct,databricks,10.7,[],2026-08-15T05:51:48,llama-3.3-70b,databricks,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,485,12,0.008514,12908,427,databricks-meta-llama-3-3-70b-instruct,databricks,11.0,[],2026-08-15T05:51:59,llama-3.3-70b,databricks,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,495,12,0.009610,14531,495,databricks-meta-llama-3-3-70b-instruct,databricks,12.3,[],2026-08-15T05:52:11,llama-3.3-70b,databricks,native
prog16_word_count_fsm,7,0.0000,0,5,False,False,534,12,0.008517,12965,410,databricks-meta-llama-3-3-70b-instruct,databricks,10.7,"/w/candidate.c:8:18: warning: missing terminating ' character [-Winvalid-pp-token]
    8 |         if (c == '
      |                  ^
/w/candidate.c:8:18: error: expected expression
/w/candidate.c:9:1: warning: missing terminating ' character [-Winvalid-pp-token]
    9 | ')
      | ^
/w/candidate",2026-08-15T05:52:22,llama-3.3-70b,databricks,native
prog16_word_count_fsm,8,1.0000,5,5,True,False,471,12,0.008588,12933,460,databricks-meta-llama-3-3-70b-instruct,databricks,11.6,[],2026-08-15T05:52:33,llama-3.3-70b,databricks,native
prog17_whitespace_trim,1,0.4000,2,5,True,False,508,12,0.011731,17925,542,databricks-meta-llama-3-3-70b-instruct,databricks,14.2,[],2026-08-15T05:52:47,llama-3.3-70b,databricks,native
prog17_whitespace_trim,2,0.4000,2,5,True,False,551,12,0.011702,17925,526,databricks-meta-llama-3-3-70b-instruct,databricks,13.7,[],2026-08-15T05:53:01,llama-3.3-70b,databricks,native
prog17_whitespace_trim,3,0.4000,2,5,True,False,508,12,0.006641,9865,401,databricks-meta-llama-3-3-70b-instruct,databricks,9.9,[],2026-08-15T05:53:11,llama-3.3-70b,databricks,native
prog17_whitespace_trim,4,0.4000,2,5,True,False,293,12,0.006648,9865,405,databricks-meta-llama-3-3-70b-instruct,databricks,10.1,[],2026-08-15T05:53:21,llama-3.3-70b,databricks,native
prog17_whitespace_trim,5,0.4000,2,5,True,False,682,12,0.012163,17917,785,databricks-meta-llama-3-3-70b-instruct,databricks,16.2,[],2026-08-15T05:53:37,llama-3.3-70b,databricks,native
prog17_whitespace_trim,6,0.4000,2,5,True,False,565,12,0.012093,17925,743,databricks-meta-llama-3-3-70b-instruct,databricks,16.2,[],2026-08-15T05:53:54,llama-3.3-70b,databricks,native
prog17_whitespace_trim,7,0.2000,1,5,True,False,800,12,0.007492,9865,874,databricks-meta-llama-3-3-70b-instruct,databricks,15.4,[],2026-08-15T05:54:09,llama-3.3-70b,databricks,native
prog17_whitespace_trim,8,0.4000,2,5,True,False,649,12,0.012063,17917,729,databricks-meta-llama-3-3-70b-instruct,databricks,15.7,[],2026-08-15T05:54:25,llama-3.3-70b,databricks,native
prog18_caesar_cipher,1,0.0000,0,5,True,False,526,12,0.019092,30842,326,databricks-meta-llama-3-3-70b-instruct,databricks,13.6,[],2026-08-15T05:54:38,llama-3.3-70b,databricks,native
prog18_caesar_cipher,2,0.8000,4,5,True,False,526,12,0.019092,30842,326,databricks-meta-llama-3-3-70b-instruct,databricks,13.6,[],2026-08-15T05:54:52,llama-3.3-70b,databricks,native
prog18_caesar_cipher,3,0.0000,0,5,True,False,527,12,0.019084,30828,326,databricks-meta-llama-3-3-70b-instruct,databricks,13.1,[],2026-08-15T05:55:05,llama-3.3-70b,databricks,native
prog18_caesar_cipher,4,0.0000,0,5,True,False,531,12,0.013106,20940,301,databricks-meta-llama-3-3-70b-instruct,databricks,10.7,[],2026-08-15T05:55:16,llama-3.3-70b,databricks,native
prog18_caesar_cipher,5,0.0000,0,5,True,False,609,12,0.013171,20940,337,databricks-meta-llama-3-3-70b-instruct,databricks,11.3,[],2026-08-15T05:55:27,llama-3.3-70b,databricks,native
prog18_caesar_cipher,6,0.0000,0,5,True,False,526,12,0.019084,30828,326,databricks-meta-llama-3-3-70b-instruct,databricks,12.9,[],2026-08-15T05:55:40,llama-3.3-70b,databricks,native
prog18_caesar_cipher,7,0.0000,0,5,True,False,531,12,0.019088,30828,328,databricks-meta-llama-3-3-70b-instruct,databricks,12.8,[],2026-08-15T05:55:53,llama-3.3-70b,databricks,native
