binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog19_palindrome_checker,1,1.0000,5,5,True,False,951,12,0.004785,11951,4988,openai.gpt-oss-120b-1:0,bedrock,47.8,[],2026-08-14T07:54:34,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,2,1.0000,5,5,True,False,848,12,0.005314,13426,5500,openai.gpt-oss-120b-1:0,bedrock,27.1,[],2026-08-14T07:55:01,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,3,1.0000,5,5,True,False,1074,12,0.002147,4315,2499,openai.gpt-oss-120b-1:0,bedrock,12.3,[],2026-08-14T07:55:13,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,4,1.0000,5,5,True,False,983,12,0.012279,37951,10977,openai.gpt-oss-120b-1:0,bedrock,102.2,[],2026-08-14T07:56:56,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,5,1.0000,5,5,True,False,1569,12,0.012887,37297,12154,openai.gpt-oss-120b-1:0,bedrock,129.5,[],2026-08-14T07:59:05,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,6,1.0000,5,5,True,False,953,12,0.004533,13805,4104,openai.gpt-oss-120b-1:0,bedrock,43.0,[],2026-08-14T07:59:48,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,7,1.0000,5,5,True,False,1070,12,0.005802,13891,6198,openai.gpt-oss-120b-1:0,bedrock,39.5,[],2026-08-14T08:00:28,gpt-oss-120b,bedrock,native
prog19_palindrome_checker,8,1.0000,5,5,True,False,720,12,0.005762,16111,5575,openai.gpt-oss-120b-1:0,bedrock,76.3,[],2026-08-14T08:01:44,gpt-oss-120b,bedrock,native
prog21_date_validator,1,0.6000,3,5,True,False,1209,12,0.007187,14741,8293,openai.gpt-oss-120b-1:0,bedrock,44.8,[],2026-08-14T08:02:29,gpt-oss-120b,bedrock,native
prog21_date_validator,2,1.0000,5,5,True,False,1251,12,0.003402,4866,4454,openai.gpt-oss-120b-1:0,bedrock,27.0,[],2026-08-14T08:02:56,gpt-oss-120b,bedrock,native
prog21_date_validator,3,1.0000,5,5,True,False,1776,12,0.019071,30880,24065,openai.gpt-oss-120b-1:0,bedrock,334.3,[],2026-08-14T08:08:30,gpt-oss-120b,bedrock,native
prog21_date_validator,4,1.0000,5,5,True,False,1885,12,0.004777,9581,5567,openai.gpt-oss-120b-1:0,bedrock,93.5,[],2026-08-14T08:10:03,gpt-oss-120b,bedrock,native
prog21_date_validator,5,1.0000,5,5,True,False,1119,12,0.017427,25332,22712,openai.gpt-oss-120b-1:0,bedrock,326.7,[],2026-08-14T08:15:30,gpt-oss-120b,bedrock,native
prog21_date_validator,6,1.0000,5,5,True,False,1229,12,0.008016,20238,8300,openai.gpt-oss-120b-1:0,bedrock,55.0,[],2026-08-14T08:16:25,gpt-oss-120b,bedrock,native
prog21_date_validator,7,1.0000,5,5,True,False,1968,12,0.005961,9602,7534,openai.gpt-oss-120b-1:0,bedrock,49.4,[],2026-08-14T08:17:14,gpt-oss-120b,bedrock,native
prog21_date_validator,8,0.0000,0,5,False,True,0,12,0.005691,4866,8269,openai.gpt-oss-120b-1:0,bedrock,91.7,nessun candidato prodotto,2026-08-14T08:18:46,gpt-oss-120b,bedrock,native
prog22_snake_camel_convert,1,0.8000,4,5,True,False,1384,12,0.004237,9978,4567,openai.gpt-oss-120b-1:0,bedrock,23.9,[],2026-08-14T08:19:10,gpt-oss-120b,bedrock,native
prog22_snake_camel_convert,2,0.8000,4,5,True,False,1339,12,0.011660,36473,10315,openai.gpt-oss-120b-1:0,bedrock,59.8,[],2026-08-14T08:20:10,gpt-oss-120b,bedrock,native
prog22_snake_camel_convert,3,0.0000,0,5,False,True,0,12,0.013338,25227,15924,openai.gpt-oss-120b-1:0,bedrock,92.9,nessun candidato prodotto,2026-08-14T08:21:43,gpt-oss-120b,bedrock,native
prog22_snake_camel_convert,4,0.6000,3,5,True,False,1362,12,0.010696,29868,10359,openai.gpt-oss-120b-1:0,bedrock,71.7,[],2026-08-14T08:22:54,gpt-oss-120b,bedrock,native
