binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog21_date_validator,1,1.0000,5,5,True,False,1312,12,0.005157,4866,7378,openai.gpt-oss-120b-1:0,bedrock,39.8,[],2026-08-14T15:50:50,gpt-oss-120b,bedrock,native
prog21_date_validator,2,1.0000,5,5,True,False,1429,12,0.004162,8719,4757,openai.gpt-oss-120b-1:0,bedrock,31.2,[],2026-08-14T15:51:21,gpt-oss-120b,bedrock,native
prog21_date_validator,3,1.0000,5,5,True,False,1154,12,0.005383,9709,6545,openai.gpt-oss-120b-1:0,bedrock,44.0,[],2026-08-14T15:52:05,gpt-oss-120b,bedrock,native
prog21_date_validator,4,1.0000,5,5,True,False,1829,12,0.006829,15561,7491,openai.gpt-oss-120b-1:0,bedrock,53.9,[],2026-08-14T15:52:59,gpt-oss-120b,bedrock,native
prog21_date_validator,5,1.0000,5,5,True,False,1249,12,0.009005,19672,10091,openai.gpt-oss-120b-1:0,bedrock,60.5,[],2026-08-14T15:54:00,gpt-oss-120b,bedrock,native
prog22_snake_camel_convert,1,0.8000,4,5,True,False,1447,12,0.022399,44841,26122,openai.gpt-oss-120b-1:0,bedrock,209.0,[],2026-08-14T15:57:28,gpt-oss-120b,bedrock,native
prog22_snake_camel_convert,2,0.8000,4,5,True,False,2534,12,0.015805,41120,16062,openai.gpt-oss-120b-1:0,bedrock,112.3,[],2026-08-14T15:59:21,gpt-oss-120b,bedrock,native
prog22_snake_camel_convert,3,0.6000,3,5,True,False,1408,12,0.005662,15644,5525,openai.gpt-oss-120b-1:0,bedrock,48.9,[],2026-08-14T16:00:10,gpt-oss-120b,bedrock,native
prog22_snake_camel_convert,4,0.8000,4,5,True,False,1650,12,0.005941,15018,6148,openai.gpt-oss-120b-1:0,bedrock,149.4,[],2026-08-14T16:02:39,gpt-oss-120b,bedrock,native
prog22_snake_camel_convert,5,0.8000,4,5,True,False,1898,12,0.007241,15344,8233,openai.gpt-oss-120b-1:0,bedrock,47.8,[],2026-08-14T16:03:27,gpt-oss-120b,bedrock,native
prog24_query_string_parser,1,0.8000,4,5,True,False,2483,12,0.016688,78370,8221,openai.gpt-oss-120b-1:0,bedrock,55.5,[],2026-08-14T16:04:22,gpt-oss-120b,bedrock,native
prog24_query_string_parser,2,0.0000,0,5,False,True,0,12,0.016967,80450,8166,openai.gpt-oss-120b-1:0,bedrock,60.7,"ValidationException: An error occurred (ValidationException) when calling the Converse operation: The toolConfig field must be defined when using toolUse and toolResult content blocks.
Traceback (most recent call last):
  File ""<home>/c2-tool-transport/src/harness/agent_loop.py"", line 311, ",2026-08-14T16:05:23,gpt-oss-120b,bedrock,native
prog24_query_string_parser,3,0.8000,4,5,True,False,2120,12,0.008586,37407,4959,openai.gpt-oss-120b-1:0,bedrock,35.3,[],2026-08-14T16:05:58,gpt-oss-120b,bedrock,native
