binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,772,12,0.012855,8365,898,databricks-claude-haiku-4-5,databricks,13.2,[],2026-08-14T19:19:54,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,772,12,0.012855,8365,898,databricks-claude-haiku-4-5,databricks,11.7,[],2026-08-14T19:20:05,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,772,12,0.012855,8365,898,databricks-claude-haiku-4-5,databricks,12.7,[],2026-08-14T19:20:18,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,4,1.0000,5,5,True,False,772,12,0.012855,8365,898,databricks-claude-haiku-4-5,databricks,11.6,[],2026-08-14T19:20:29,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,772,12,0.012855,8365,898,databricks-claude-haiku-4-5,databricks,12.0,[],2026-08-14T19:20:41,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,772,12,0.012855,8365,898,databricks-claude-haiku-4-5,databricks,11.9,[],2026-08-14T19:20:53,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,7,1.0000,5,5,True,False,772,12,0.012855,8365,898,databricks-claude-haiku-4-5,databricks,12.5,[],2026-08-14T19:21:06,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,8,1.0000,5,5,True,False,772,12,0.012855,8365,898,databricks-claude-haiku-4-5,databricks,12.0,[],2026-08-14T19:21:18,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,1,0.6000,3,5,True,False,1278,12,0.025157,19507,1130,databricks-claude-haiku-4-5,databricks,16.9,[],2026-08-14T19:21:35,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,2,0.6000,3,5,True,False,1278,12,0.025157,19507,1130,databricks-claude-haiku-4-5,databricks,18.1,[],2026-08-14T19:21:53,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,3,0.6000,3,5,True,False,1278,12,0.025157,19507,1130,databricks-claude-haiku-4-5,databricks,17.2,[],2026-08-14T19:22:10,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,4,0.6000,3,5,True,False,1278,12,0.025157,19507,1130,databricks-claude-haiku-4-5,databricks,15.8,[],2026-08-14T19:22:26,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,5,0.6000,3,5,True,False,1278,12,0.025157,19507,1130,databricks-claude-haiku-4-5,databricks,15.7,[],2026-08-14T19:22:42,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,6,0.6000,3,5,True,False,1278,12,0.025157,19507,1130,databricks-claude-haiku-4-5,databricks,16.5,[],2026-08-14T19:22:58,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,7,0.6000,3,5,True,False,1278,12,0.025157,19507,1130,databricks-claude-haiku-4-5,databricks,17.0,[],2026-08-14T19:23:15,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,8,0.6000,3,5,True,False,1278,12,0.025157,19507,1130,databricks-claude-haiku-4-5,databricks,16.2,[],2026-08-14T19:23:31,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,1,0.8000,4,5,True,False,1227,12,0.014086,9651,887,databricks-claude-haiku-4-5,databricks,12.8,[],2026-08-14T19:23:44,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,2,0.8000,4,5,True,False,1227,12,0.014086,9651,887,databricks-claude-haiku-4-5,databricks,11.4,[],2026-08-14T19:23:56,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,3,0.8000,4,5,True,False,1227,12,0.014086,9651,887,databricks-claude-haiku-4-5,databricks,11.9,[],2026-08-14T19:24:07,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,4,0.8000,4,5,True,False,1227,12,0.014086,9651,887,databricks-claude-haiku-4-5,databricks,11.6,[],2026-08-14T19:24:19,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,5,0.8000,4,5,True,False,1227,12,0.014086,9651,887,databricks-claude-haiku-4-5,databricks,11.8,[],2026-08-14T19:24:31,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,6,0.8000,4,5,True,False,1227,12,0.014086,9651,887,databricks-claude-haiku-4-5,databricks,11.6,[],2026-08-14T19:24:42,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,7,0.8000,4,5,True,False,1227,12,0.014086,9651,887,databricks-claude-haiku-4-5,databricks,11.5,[],2026-08-14T19:24:54,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,8,0.8000,4,5,True,False,1227,12,0.014086,9651,887,databricks-claude-haiku-4-5,databricks,11.9,[],2026-08-14T19:25:06,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,1,0.8000,4,5,True,False,1434,12,0.020633,15553,1016,databricks-claude-haiku-4-5,databricks,18.3,[],2026-08-14T19:25:24,claude-haiku-4-5,databricks,native
