binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog41_series_sum,1,0.6000,3,5,True,False,1094,12,0.003766,4347,5190,openai.gpt-oss-120b-1:0,bedrock,35.3,[],2026-08-14T17:31:21,gpt-oss-120b,bedrock,text
prog41_series_sum,2,0.6000,3,5,True,False,1163,12,0.005368,8533,6813,openai.gpt-oss-120b-1:0,bedrock,88.2,[],2026-08-14T17:32:49,gpt-oss-120b,bedrock,text
prog41_series_sum,3,0.8000,4,5,True,False,1445,12,0.005108,8536,6380,openai.gpt-oss-120b-1:0,bedrock,59.1,[],2026-08-14T17:33:49,gpt-oss-120b,bedrock,text
prog41_series_sum,4,0.6000,3,5,True,False,1444,12,0.006678,7727,9199,openai.gpt-oss-120b-1:0,bedrock,62.9,[],2026-08-14T17:34:51,gpt-oss-120b,bedrock,text
prog41_series_sum,5,0.6000,3,5,True,False,1430,12,0.004378,7047,5535,openai.gpt-oss-120b-1:0,bedrock,58.5,[],2026-08-14T17:35:50,gpt-oss-120b,bedrock,text
prog41_series_sum,6,1.0000,5,5,True,False,1416,12,0.003045,4431,3967,openai.gpt-oss-120b-1:0,bedrock,56.3,[],2026-08-14T17:36:46,gpt-oss-120b,bedrock,text
prog41_series_sum,7,1.0000,5,5,True,False,2507,12,0.005220,9655,6286,openai.gpt-oss-120b-1:0,bedrock,45.6,[],2026-08-14T17:37:32,gpt-oss-120b,bedrock,text
prog41_series_sum,8,0.8000,4,5,True,False,1162,12,0.004799,7727,6067,openai.gpt-oss-120b-1:0,bedrock,78.3,[],2026-08-14T17:38:50,gpt-oss-120b,bedrock,text
prog47_circular_queue,1,0.2000,1,5,True,False,2384,12,0.002501,4727,2986,openai.gpt-oss-120b-1:0,bedrock,11.2,[],2026-08-14T17:39:01,gpt-oss-120b,bedrock,text
prog47_circular_queue,2,1.0000,5,5,True,False,1716,12,0.002041,4727,2220,openai.gpt-oss-120b-1:0,bedrock,19.5,[],2026-08-14T17:39:21,gpt-oss-120b,bedrock,text
prog47_circular_queue,3,0.8000,4,5,True,False,2238,12,0.003159,4727,4083,openai.gpt-oss-120b-1:0,bedrock,32.7,[],2026-08-14T17:39:53,gpt-oss-120b,bedrock,text
prog47_circular_queue,4,0.8000,4,5,True,False,1832,12,0.002975,4727,3777,openai.gpt-oss-120b-1:0,bedrock,31.5,[],2026-08-14T17:40:25,gpt-oss-120b,bedrock,text
prog47_circular_queue,5,0.8000,4,5,True,False,1799,12,0.002529,4727,3034,openai.gpt-oss-120b-1:0,bedrock,22.1,[],2026-08-14T17:40:47,gpt-oss-120b,bedrock,text
prog47_circular_queue,6,1.0000,5,5,True,False,1501,12,0.002118,4727,2349,openai.gpt-oss-120b-1:0,bedrock,38.7,[],2026-08-14T17:41:26,gpt-oss-120b,bedrock,text
prog47_circular_queue,7,1.0000,5,5,True,False,1655,12,0.002132,4727,2372,openai.gpt-oss-120b-1:0,bedrock,19.1,[],2026-08-14T17:41:45,gpt-oss-120b,bedrock,text
