binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog51_union_find,1,1.0000,5,5,True,False,3186,12,0.003861,6326,4853,openai.gpt-oss-120b-1:0,bedrock,153.5,[],2026-08-14T18:13:33,gpt-oss-120b,bedrock,text
prog51_union_find,2,0.8000,4,5,True,False,2982,12,0.004410,16606,3199,openai.gpt-oss-120b-1:0,bedrock,16.1,[],2026-08-14T18:13:49,gpt-oss-120b,bedrock,text
prog51_union_find,3,0.8000,4,5,True,False,2324,12,0.003620,6326,4452,openai.gpt-oss-120b-1:0,bedrock,76.0,[],2026-08-14T18:15:05,gpt-oss-120b,bedrock,text
prog51_union_find,4,0.4000,2,5,True,False,2872,12,0.004544,12492,4451,openai.gpt-oss-120b-1:0,bedrock,15.7,[],2026-08-14T18:15:21,gpt-oss-120b,bedrock,text
prog51_union_find,5,1.0000,5,5,True,False,2683,12,0.003290,6326,3902,openai.gpt-oss-120b-1:0,bedrock,15.9,[],2026-08-14T18:15:37,gpt-oss-120b,bedrock,text
prog51_union_find,6,0.0000,0,5,True,False,2872,12,0.003511,12492,2729,openai.gpt-oss-120b-1:0,bedrock,24.7,[],2026-08-14T18:16:01,gpt-oss-120b,bedrock,text
prog51_union_find,7,0.0000,0,5,True,False,2320,12,0.004313,12488,4067,openai.gpt-oss-120b-1:0,bedrock,109.7,[],2026-08-14T18:17:51,gpt-oss-120b,bedrock,text
prog51_union_find,8,1.0000,5,5,True,False,2792,12,0.006272,13579,7058,openai.gpt-oss-120b-1:0,bedrock,45.1,[],2026-08-14T18:18:36,gpt-oss-120b,bedrock,text
prog54_topo_sort,1,0.0000,0,5,True,False,2458,12,0.002301,6405,2233,openai.gpt-oss-120b-1:0,bedrock,30.9,[],2026-08-14T18:19:07,gpt-oss-120b,bedrock,text
prog54_topo_sort,2,0.0000,0,5,True,False,2458,12,0.002299,6405,2230,openai.gpt-oss-120b-1:0,bedrock,33.8,[],2026-08-14T18:19:41,gpt-oss-120b,bedrock,text
prog54_topo_sort,3,0.0000,0,5,True,False,2458,12,0.002297,6405,2227,openai.gpt-oss-120b-1:0,bedrock,41.4,[],2026-08-14T18:20:22,gpt-oss-120b,bedrock,text
prog54_topo_sort,4,0.0000,0,5,True,False,2458,12,0.002296,6405,2226,openai.gpt-oss-120b-1:0,bedrock,42.4,[],2026-08-14T18:21:05,gpt-oss-120b,bedrock,text
prog54_topo_sort,5,0.0000,0,5,True,False,2528,12,0.002211,6405,2083,openai.gpt-oss-120b-1:0,bedrock,12.5,[],2026-08-14T18:21:17,gpt-oss-120b,bedrock,text
prog54_topo_sort,6,0.0000,0,5,True,False,1932,12,0.002529,6405,2613,openai.gpt-oss-120b-1:0,bedrock,25.1,[],2026-08-14T18:21:42,gpt-oss-120b,bedrock,text
prog54_topo_sort,7,0.6000,3,5,True,False,2197,12,0.002450,6405,2482,openai.gpt-oss-120b-1:0,bedrock,21.1,[],2026-08-14T18:22:03,gpt-oss-120b,bedrock,text
prog54_topo_sort,8,0.0000,0,5,True,False,2769,12,0.003590,6405,4382,openai.gpt-oss-120b-1:0,bedrock,19.0,[],2026-08-14T18:22:22,gpt-oss-120b,bedrock,text
prog55_connected_components,1,0.2000,1,5,True,False,2575,12,0.004574,16088,3602,openai.gpt-oss-120b-1:0,bedrock,43.4,[],2026-08-14T18:23:06,gpt-oss-120b,bedrock,text
prog55_connected_components,2,0.2000,1,5,True,False,1461,12,0.002489,7130,2366,openai.gpt-oss-120b-1:0,bedrock,40.5,[],2026-08-14T18:23:46,gpt-oss-120b,bedrock,text
prog55_connected_components,3,0.2000,1,5,True,False,1461,12,0.002489,7130,2366,openai.gpt-oss-120b-1:0,bedrock,41.4,[],2026-08-14T18:24:28,gpt-oss-120b,bedrock,text
prog55_connected_components,4,0.2000,1,5,True,False,2059,12,0.004310,14079,3664,openai.gpt-oss-120b-1:0,bedrock,30.8,[],2026-08-14T18:24:59,gpt-oss-120b,bedrock,text
prog55_connected_components,5,0.2000,1,5,True,False,2148,12,0.002794,7130,2874,openai.gpt-oss-120b-1:0,bedrock,13.5,[],2026-08-14T18:25:12,gpt-oss-120b,bedrock,text
prog55_connected_components,6,0.2000,1,5,True,False,2203,12,0.003480,7130,4018,openai.gpt-oss-120b-1:0,bedrock,20.2,[],2026-08-14T18:25:32,gpt-oss-120b,bedrock,text
prog55_connected_components,7,0.2000,1,5,True,False,2527,12,0.004484,7130,5691,openai.gpt-oss-120b-1:0,bedrock,43.6,[],2026-08-14T18:26:16,gpt-oss-120b,bedrock,text
prog55_connected_components,8,0.2000,1,5,True,False,1903,12,0.006559,14048,7419,openai.gpt-oss-120b-1:0,bedrock,38.1,[],2026-08-14T18:26:54,gpt-oss-120b,bedrock,text
prog56_kruskal_mst,1,0.4000,2,5,True,False,3133,12,0.004517,12770,4336,openai.gpt-oss-120b-1:0,bedrock,58.1,[],2026-08-14T18:27:52,gpt-oss-120b,bedrock,text
prog56_kruskal_mst,2,0.4000,2,5,True,False,3133,12,0.004533,12770,4362,openai.gpt-oss-120b-1:0,bedrock,61.9,[],2026-08-14T18:28:54,gpt-oss-120b,bedrock,text
