binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,747,12,0.002706,6671,2432,gpt-oss-120b,azure,11.9,[],2026-08-14T17:38:51,gpt-oss-120b,azure,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,502,12,0.001288,3613,1048,gpt-oss-120b,azure,5.2,[],2026-08-14T17:38:57,gpt-oss-120b,azure,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,509,12,0.001105,3613,771,gpt-oss-120b,azure,5.0,[],2026-08-14T17:39:02,gpt-oss-120b,azure,native
prog16_word_count_fsm,4,0.8000,4,5,True,False,630,12,0.001566,3613,1469,gpt-oss-120b,azure,5.9,[],2026-08-14T17:39:07,gpt-oss-120b,azure,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,507,12,0.002020,6336,1477,gpt-oss-120b,azure,6.3,[],2026-08-14T17:39:14,gpt-oss-120b,azure,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,584,12,0.002943,6510,2832,gpt-oss-120b,azure,8.7,[],2026-08-14T17:39:22,gpt-oss-120b,azure,native
prog16_word_count_fsm,7,1.0000,5,5,True,False,510,12,0.002306,6158,1955,gpt-oss-120b,azure,7.3,[],2026-08-14T17:39:30,gpt-oss-120b,azure,native
prog16_word_count_fsm,8,1.0000,5,5,True,False,538,12,0.001230,3613,960,gpt-oss-120b,azure,5.4,[],2026-08-14T17:39:35,gpt-oss-120b,azure,native
prog17_whitespace_trim,1,1.0000,5,5,True,False,1705,12,0.009160,19723,8948,gpt-oss-120b,azure,40.3,[],2026-08-14T17:40:15,gpt-oss-120b,azure,native
prog17_whitespace_trim,2,1.0000,5,5,True,False,1509,12,0.002487,3967,2776,gpt-oss-120b,azure,8.2,[],2026-08-14T17:40:24,gpt-oss-120b,azure,native
prog17_whitespace_trim,3,1.0000,5,5,True,False,1510,12,0.002716,3967,3124,gpt-oss-120b,azure,8.6,[],2026-08-14T17:40:32,gpt-oss-120b,azure,native
prog17_whitespace_trim,4,1.0000,5,5,True,False,1680,12,0.005854,7654,6956,gpt-oss-120b,azure,22.7,[],2026-08-14T17:40:55,gpt-oss-120b,azure,native
prog17_whitespace_trim,5,1.0000,5,5,True,False,1042,12,0.002973,3967,3513,gpt-oss-120b,azure,9.0,[],2026-08-14T17:41:04,gpt-oss-120b,azure,native
prog17_whitespace_trim,6,1.0000,5,5,True,False,1317,12,0.004511,7542,4949,gpt-oss-120b,azure,18.5,[],2026-08-14T17:41:22,gpt-oss-120b,azure,native
prog17_whitespace_trim,7,1.0000,5,5,True,False,1579,12,0.007531,16978,7166,gpt-oss-120b,azure,31.5,[],2026-08-14T17:41:54,gpt-oss-120b,azure,native
prog17_whitespace_trim,8,1.0000,5,5,True,False,1575,12,0.004831,7652,5407,gpt-oss-120b,azure,19.8,[],2026-08-14T17:42:14,gpt-oss-120b,azure,native
prog18_caesar_cipher,1,1.0000,5,5,True,False,2884,12,0.005533,13461,5018,gpt-oss-120b,azure,30.2,[],2026-08-14T17:42:44,gpt-oss-120b,azure,native
prog18_caesar_cipher,2,1.0000,5,5,True,False,1237,12,0.002456,4802,2520,gpt-oss-120b,azure,15.1,[],2026-08-14T17:42:59,gpt-oss-120b,azure,native
prog18_caesar_cipher,3,0.8000,4,5,True,False,776,12,0.002324,4802,2320,gpt-oss-120b,azure,14.9,[],2026-08-14T17:43:14,gpt-oss-120b,azure,native
prog18_caesar_cipher,4,1.0000,5,5,True,False,1356,12,0.002859,4802,3132,gpt-oss-120b,azure,17.0,[],2026-08-14T17:43:31,gpt-oss-120b,azure,native
prog18_caesar_cipher,5,1.0000,5,5,True,False,1528,12,0.002468,4802,2539,gpt-oss-120b,azure,15.4,[],2026-08-14T17:43:46,gpt-oss-120b,azure,native
prog18_caesar_cipher,6,1.0000,5,5,True,False,1203,12,0.003672,9289,3242,gpt-oss-120b,azure,19.7,[],2026-08-14T17:44:06,gpt-oss-120b,azure,native
prog18_caesar_cipher,7,1.0000,5,5,True,False,1222,12,0.005277,14108,4468,gpt-oss-120b,azure,24.6,[],2026-08-14T17:44:30,gpt-oss-120b,azure,native
prog18_caesar_cipher,8,0.8000,4,5,True,False,1139,12,0.003676,9181,3274,gpt-oss-120b,azure,19.4,[],2026-08-14T17:44:50,gpt-oss-120b,azure,native
