binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,12.3,[],2026-08-16T09:20:54,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,11.5,[],2026-08-16T09:21:06,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.8,[],2026-08-16T09:21:17,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,4,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,11.6,[],2026-08-16T09:21:28,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.3,[],2026-08-16T09:21:39,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.1,[],2026-08-16T09:21:49,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,7,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.1,[],2026-08-16T09:21:59,claude-haiku-4-5,databricks,native
prog16_word_count_fsm,8,1.0000,5,5,True,False,729,12,0.011056,7201,771,databricks-claude-haiku-4-5,databricks,10.6,[],2026-08-16T09:22:09,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,1,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,12.9,[],2026-08-16T09:22:22,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,2,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,13.0,[],2026-08-16T09:22:35,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,3,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,12.6,[],2026-08-16T09:22:48,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,4,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,18.6,[],2026-08-16T09:23:06,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,5,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,13.1,[],2026-08-16T09:23:20,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,6,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,12.6,[],2026-08-16T09:23:32,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,7,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,13.5,[],2026-08-16T09:23:46,claude-haiku-4-5,databricks,native
prog17_whitespace_trim,8,0.6000,3,5,True,False,1094,12,0.017759,12799,992,databricks-claude-haiku-4-5,databricks,12.7,[],2026-08-16T09:23:58,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,1,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.7,[],2026-08-16T09:24:10,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,2,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.5,[],2026-08-16T09:24:22,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,3,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.6,[],2026-08-16T09:24:33,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,4,0.0000,0,5,False,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.0,harness_error: IndexError: list index out of range,2026-08-16T09:24:44,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,5,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,12.5,[],2026-08-16T09:24:57,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,6,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.7,[],2026-08-16T09:25:08,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,7,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.8,[],2026-08-16T09:25:20,claude-haiku-4-5,databricks,native
prog18_caesar_cipher,8,0.8000,4,5,True,False,1192,12,0.013497,8427,1014,databricks-claude-haiku-4-5,databricks,11.6,[],2026-08-16T09:25:32,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,1,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,databricks-claude-haiku-4-5,databricks,15.4,[],2026-08-16T09:25:47,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,2,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,databricks-claude-haiku-4-5,databricks,14.8,[],2026-08-16T09:26:02,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,3,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,databricks-claude-haiku-4-5,databricks,17.7,[],2026-08-16T09:26:20,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,4,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,databricks-claude-haiku-4-5,databricks,15.8,[],2026-08-16T09:26:35,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,5,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,databricks-claude-haiku-4-5,databricks,14.3,[],2026-08-16T09:26:50,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,6,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,databricks-claude-haiku-4-5,databricks,15.3,[],2026-08-16T09:27:05,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,7,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,databricks-claude-haiku-4-5,databricks,14.4,[],2026-08-16T09:27:19,claude-haiku-4-5,databricks,native
prog19_palindrome_checker,8,0.6000,3,5,True,False,1285,12,0.026011,20376,1127,databricks-claude-haiku-4-5,databricks,14.6,[],2026-08-16T09:27:34,claude-haiku-4-5,databricks,native
prog20_anagram_checker,1,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,databricks-claude-haiku-4-5,databricks,19.6,[],2026-08-16T09:27:54,claude-haiku-4-5,databricks,native
prog20_anagram_checker,2,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,databricks-claude-haiku-4-5,databricks,19.8,[],2026-08-16T09:28:13,claude-haiku-4-5,databricks,native
prog20_anagram_checker,3,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,databricks-claude-haiku-4-5,databricks,19.6,[],2026-08-16T09:28:33,claude-haiku-4-5,databricks,native
prog20_anagram_checker,4,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,databricks-claude-haiku-4-5,databricks,19.5,[],2026-08-16T09:28:53,claude-haiku-4-5,databricks,native
prog20_anagram_checker,5,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,databricks-claude-haiku-4-5,databricks,19.4,[],2026-08-16T09:29:12,claude-haiku-4-5,databricks,native
prog20_anagram_checker,6,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,databricks-claude-haiku-4-5,databricks,19.3,[],2026-08-16T09:29:31,claude-haiku-4-5,databricks,native
prog20_anagram_checker,7,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,databricks-claude-haiku-4-5,databricks,20.1,[],2026-08-16T09:29:51,claude-haiku-4-5,databricks,native
prog20_anagram_checker,8,1.0000,5,5,True,False,1377,12,0.034816,27216,1520,databricks-claude-haiku-4-5,databricks,19.5,[],2026-08-16T09:30:11,claude-haiku-4-5,databricks,native
prog21_date_validator,1,0.6000,3,5,True,False,1612,12,0.030447,21762,1737,databricks-claude-haiku-4-5,databricks,18.1,[],2026-08-16T09:30:29,claude-haiku-4-5,databricks,native
prog21_date_validator,2,0.6000,3,5,True,False,1612,12,0.030447,21762,1737,databricks-claude-haiku-4-5,databricks,17.4,[],2026-08-16T09:30:46,claude-haiku-4-5,databricks,native
prog21_date_validator,3,0.6000,3,5,True,False,1295,12,0.031057,21762,1859,databricks-claude-haiku-4-5,databricks,20.2,[],2026-08-16T09:31:06,claude-haiku-4-5,databricks,native
