binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,767,12,0.031998,7246,684,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,20.8,[],2026-08-16T20:24:01,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,2,1.0000,5,5,True,False,557,12,0.029985,7245,550,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,18.4,[],2026-08-16T20:24:19,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,3,0.4000,2,5,True,False,1032,12,0.037296,7282,1030,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,23.5,[],2026-08-16T20:24:43,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,4,1.0000,5,5,True,False,557,12,0.029955,7245,548,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,17.4,[],2026-08-16T20:25:00,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,5,0.2000,1,5,True,False,756,12,0.034116,7282,818,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,21.7,[],2026-08-16T20:25:22,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,6,1.0000,5,5,True,False,603,12,0.033159,7298,751,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,20.5,[],2026-08-16T20:25:42,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,7,1.0000,5,5,True,False,557,12,0.029985,7245,550,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,17.6,[],2026-08-16T20:26:00,claude-sonnet-4-5,bedrock,text
prog16_word_count_fsm,8,1.0000,5,5,True,False,557,12,0.029955,7245,548,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,17.9,[],2026-08-16T20:26:18,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,1,1.0000,5,5,True,False,989,12,0.060987,16154,835,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,25.5,[],2026-08-16T20:26:43,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,2,1.0000,5,5,True,False,990,12,0.061002,16154,836,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,25.8,[],2026-08-16T20:27:09,claude-sonnet-4-5,bedrock,text
prog17_whitespace_trim,3,1.0000,5,5,True,False,969,12,0.063369,16208,983,us.anthropic.claude-sonnet-4-5-20250929-v1:0,bedrock,27.3,[],2026-08-16T20:27:37,claude-sonnet-4-5,bedrock,text
