binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,0.8000,4,5,True,False,692,12,0.035091,7172,905,databricks-claude-sonnet-4-5,databricks,19.5,[],2026-08-16T12:39:53,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,726,12,0.034641,7172,875,databricks-claude-sonnet-4-5,databricks,18.1,[],2026-08-16T12:40:12,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,726,12,0.034641,7172,875,databricks-claude-sonnet-4-5,databricks,18.4,[],2026-08-16T12:40:30,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,4,1.0000,5,5,True,False,712,12,0.036201,7172,979,databricks-claude-sonnet-4-5,databricks,18.9,[],2026-08-16T12:40:49,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,5,1.0000,5,5,True,False,726,12,0.034641,7172,875,databricks-claude-sonnet-4-5,databricks,18.8,[],2026-08-16T12:41:08,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,726,12,0.034641,7172,875,databricks-claude-sonnet-4-5,databricks,18.4,[],2026-08-16T12:41:26,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,7,0.8000,4,5,True,False,626,12,0.035166,7172,910,databricks-claude-sonnet-4-5,databricks,20.1,[],2026-08-16T12:41:46,claude-sonnet-4-5,databricks,native
prog16_word_count_fsm,8,1.0000,5,5,True,False,712,12,0.036201,7172,979,databricks-claude-sonnet-4-5,databricks,20.1,[],2026-08-16T12:42:06,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,1,1.0000,5,5,True,False,1213,12,0.055737,12169,1282,databricks-claude-sonnet-4-5,databricks,28.6,[],2026-08-16T12:42:35,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,2,1.0000,5,5,True,False,1245,12,0.053181,12162,1113,databricks-claude-sonnet-4-5,databricks,23.3,[],2026-08-16T12:42:58,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,3,1.0000,5,5,True,False,1069,12,0.053367,12169,1124,databricks-claude-sonnet-4-5,databricks,24.9,[],2026-08-16T12:43:23,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,4,0.6000,3,5,True,False,1347,12,0.036105,7485,910,databricks-claude-sonnet-4-5,databricks,18.4,[],2026-08-16T12:43:42,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,5,1.0000,5,5,True,False,1103,12,0.039915,7485,1164,databricks-claude-sonnet-4-5,databricks,23.6,[],2026-08-16T12:44:05,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,6,1.0000,5,5,True,False,994,12,0.052941,12162,1097,databricks-claude-sonnet-4-5,databricks,24.3,[],2026-08-16T12:44:29,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,7,1.0000,5,5,True,False,994,12,0.052941,12162,1097,databricks-claude-sonnet-4-5,databricks,25.2,[],2026-08-16T12:44:55,claude-sonnet-4-5,databricks,native
prog17_whitespace_trim,8,1.0000,5,5,True,False,1103,12,0.039915,7485,1164,databricks-claude-sonnet-4-5,databricks,22.6,[],2026-08-16T12:45:17,claude-sonnet-4-5,databricks,native
prog18_caesar_cipher,1,1.0000,5,5,True,False,1632,12,0.040956,8392,1052,databricks-claude-sonnet-4-5,databricks,21.0,[],2026-08-16T12:45:38,claude-sonnet-4-5,databricks,native
prog18_caesar_cipher,2,1.0000,5,5,True,False,1626,12,0.040836,8392,1044,databricks-claude-sonnet-4-5,databricks,20.2,[],2026-08-16T12:45:59,claude-sonnet-4-5,databricks,native
prog18_caesar_cipher,3,1.0000,5,5,True,False,1632,12,0.040956,8392,1052,databricks-claude-sonnet-4-5,databricks,19.7,[],2026-08-16T12:46:18,claude-sonnet-4-5,databricks,native
prog18_caesar_cipher,4,1.0000,5,5,True,False,1843,12,0.041721,8392,1103,databricks-claude-sonnet-4-5,databricks,20.1,[],2026-08-16T12:46:38,claude-sonnet-4-5,databricks,native
prog18_caesar_cipher,5,1.0000,5,5,True,False,1348,12,0.039756,8392,972,databricks-claude-sonnet-4-5,databricks,19.4,[],2026-08-16T12:46:58,claude-sonnet-4-5,databricks,native
prog18_caesar_cipher,6,1.0000,5,5,True,False,1843,12,0.041721,8392,1103,databricks-claude-sonnet-4-5,databricks,20.6,[],2026-08-16T12:47:18,claude-sonnet-4-5,databricks,native
