binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,0.4000,2,5,True,False,965,12,0.032211,7282,691,databricks-claude-sonnet-4-5,databricks,21.5,[],2026-08-16T14:56:01,claude-sonnet-4-5,databricks,text
prog16_word_count_fsm,2,0.8000,4,5,True,False,556,12,0.032019,7298,675,databricks-claude-sonnet-4-5,databricks,20.4,[],2026-08-16T14:56:22,claude-sonnet-4-5,databricks,text
prog16_word_count_fsm,3,0.2000,1,5,True,False,806,12,0.035886,7282,936,databricks-claude-sonnet-4-5,databricks,22.7,[],2026-08-16T14:56:44,claude-sonnet-4-5,databricks,text
prog16_word_count_fsm,4,1.0000,5,5,True,False,606,12,0.032631,7282,719,databricks-claude-sonnet-4-5,databricks,19.2,[],2026-08-16T14:57:04,claude-sonnet-4-5,databricks,text
prog16_word_count_fsm,5,1.0000,5,5,True,False,945,12,0.033684,7298,786,databricks-claude-sonnet-4-5,databricks,21.6,[],2026-08-16T14:57:25,claude-sonnet-4-5,databricks,text
prog16_word_count_fsm,6,1.0000,5,5,True,False,945,12,0.033684,7298,786,databricks-claude-sonnet-4-5,databricks,20.6,[],2026-08-16T14:57:46,claude-sonnet-4-5,databricks,text
prog16_word_count_fsm,7,1.0000,5,5,True,False,557,12,0.029985,7245,550,databricks-claude-sonnet-4-5,databricks,17.8,[],2026-08-16T14:58:04,claude-sonnet-4-5,databricks,text
prog16_word_count_fsm,8,1.0000,5,5,True,False,945,12,0.033684,7298,786,databricks-claude-sonnet-4-5,databricks,22.9,[],2026-08-16T14:58:27,claude-sonnet-4-5,databricks,text
prog17_whitespace_trim,1,1.0000,5,5,True,False,1059,12,0.064179,16273,1024,databricks-claude-sonnet-4-5,databricks,26.6,[],2026-08-16T14:58:53,claude-sonnet-4-5,databricks,text
prog17_whitespace_trim,2,0.0000,0,5,False,False,1059,12,0.064179,16273,1024,databricks-claude-sonnet-4-5,databricks,27.0,harness_error: IndexError: list index out of range,2026-08-16T14:59:20,claude-sonnet-4-5,databricks,text
prog17_whitespace_trim,3,1.0000,5,5,True,False,989,12,0.060987,16154,835,databricks-claude-sonnet-4-5,databricks,25.9,[],2026-08-16T14:59:46,claude-sonnet-4-5,databricks,text
prog17_whitespace_trim,4,1.0000,5,5,True,False,992,12,0.061347,16154,859,databricks-claude-sonnet-4-5,databricks,26.4,[],2026-08-16T15:00:12,claude-sonnet-4-5,databricks,text
prog17_whitespace_trim,5,1.0000,5,5,True,False,989,12,0.060987,16154,835,databricks-claude-sonnet-4-5,databricks,27.7,[],2026-08-16T15:00:40,claude-sonnet-4-5,databricks,text
prog17_whitespace_trim,6,0.6000,3,5,True,False,1068,12,0.063564,16273,983,databricks-claude-sonnet-4-5,databricks,29.1,[],2026-08-16T15:01:09,claude-sonnet-4-5,databricks,text
prog17_whitespace_trim,7,1.0000,5,5,True,False,1035,12,0.061989,16273,878,databricks-claude-sonnet-4-5,databricks,26.0,[],2026-08-16T15:01:35,claude-sonnet-4-5,databricks,text
prog17_whitespace_trim,8,1.0000,5,5,True,False,1035,12,0.061989,16273,878,databricks-claude-sonnet-4-5,databricks,25.7,[],2026-08-16T15:02:01,claude-sonnet-4-5,databricks,text
prog18_caesar_cipher,1,1.0000,5,5,True,False,1607,12,0.043386,9797,933,databricks-claude-sonnet-4-5,databricks,22.6,[],2026-08-16T15:02:23,claude-sonnet-4-5,databricks,text
prog18_caesar_cipher,2,1.0000,5,5,True,False,1616,12,0.058785,14710,977,databricks-claude-sonnet-4-5,databricks,24.1,[],2026-08-16T15:02:48,claude-sonnet-4-5,databricks,text
prog18_caesar_cipher,3,1.0000,5,5,True,False,1607,12,0.043386,9797,933,databricks-claude-sonnet-4-5,databricks,22.0,[],2026-08-16T15:03:10,claude-sonnet-4-5,databricks,text
prog18_caesar_cipher,4,1.0000,5,5,True,False,1404,12,0.042258,9761,865,databricks-claude-sonnet-4-5,databricks,19.5,[],2026-08-16T15:03:29,claude-sonnet-4-5,databricks,text
prog18_caesar_cipher,5,1.0000,5,5,True,False,1434,12,0.042396,9797,867,databricks-claude-sonnet-4-5,databricks,21.3,[],2026-08-16T15:03:50,claude-sonnet-4-5,databricks,text
prog18_caesar_cipher,6,1.0000,5,5,True,False,1581,12,0.042966,9797,905,databricks-claude-sonnet-4-5,databricks,21.2,[],2026-08-16T15:04:12,claude-sonnet-4-5,databricks,text
prog18_caesar_cipher,7,1.0000,5,5,True,False,1581,12,0.042966,9797,905,databricks-claude-sonnet-4-5,databricks,22.5,[],2026-08-16T15:04:34,claude-sonnet-4-5,databricks,text
prog18_caesar_cipher,8,1.0000,5,5,True,False,1645,12,0.042960,9760,912,databricks-claude-sonnet-4-5,databricks,20.6,[],2026-08-16T15:04:55,claude-sonnet-4-5,databricks,text
