binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog21_date_validator,1,0.0000,0,5,False,True,0,12,0.005690,4860,8269,openai.gpt-oss-120b-1:0,bedrock,41.2,nessun candidato prodotto,2026-08-16T22:51:51,gpt-oss-120b,bedrock,native
prog21_date_validator,2,0.0000,0,5,False,True,0,12,0.005690,4860,8269,openai.gpt-oss-120b-1:0,bedrock,50.0,nessun candidato prodotto,2026-08-16T22:52:41,gpt-oss-120b,bedrock,native
prog21_date_validator,3,0.0000,0,5,False,False,0,12,0.005690,4860,8269,openai.gpt-oss-120b-1:0,bedrock,42.3,nessun candidato prodotto,2026-08-16T22:53:23,gpt-oss-120b,bedrock,native
prog23_longest_common_prefix,1,0.0000,0,5,False,False,822,12,0.006133,7746,8285,openai.gpt-oss-120b-1:0,bedrock,124.9,"/w/candidate.c:28:1: error: extraneous closing brace ('}')
   28 | }
      | ^
1 error generated.
",2026-08-16T22:55:28,gpt-oss-120b,bedrock,native
prog23_longest_common_prefix,2,0.6000,3,5,True,False,807,12,0.008333,18614,9235,openai.gpt-oss-120b-1:0,bedrock,50.0,[],2026-08-16T22:56:18,gpt-oss-120b,bedrock,native
prog23_longest_common_prefix,3,0.0000,0,5,False,False,1029,12,0.005678,11422,6608,openai.gpt-oss-120b-1:0,bedrock,113.5,"/w/candidate.c:37:1: error: extraneous closing brace ('}')
   37 | }
      | ^
1 error generated.
",2026-08-16T22:58:11,gpt-oss-120b,bedrock,native
prog25_balanced_multitype,1,0.8000,4,5,True,False,1041,12,0.004993,8936,6088,openai.gpt-oss-120b-1:0,bedrock,42.7,[],2026-08-16T22:58:54,gpt-oss-120b,bedrock,native
prog25_balanced_multitype,2,0.0000,0,5,False,False,1262,12,0.001477,4538,1327,openai.gpt-oss-120b-1:0,bedrock,13.1,"/w/candidate.c:14:27: error: call to undeclared library function 'malloc' with type 'void *(unsigned long)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
   14 |     char *stack = (char *)malloc(len + 1);
      |                           ^
/w/can",2026-08-16T22:59:07,gpt-oss-120b,bedrock,native
prog25_balanced_multitype,3,1.0000,5,5,True,False,1020,12,0.007041,16808,7533,openai.gpt-oss-120b-1:0,bedrock,126.5,[],2026-08-16T23:01:14,gpt-oss-120b,bedrock,native
prog35_perfect_numbers,1,1.0000,5,5,True,False,924,12,0.002282,3647,2891,openai.gpt-oss-120b-1:0,bedrock,45.6,[],2026-08-16T23:01:59,gpt-oss-120b,bedrock,native
prog35_perfect_numbers,2,1.0000,5,5,True,False,804,12,0.002966,3647,4031,openai.gpt-oss-120b-1:0,bedrock,33.8,[],2026-08-16T23:02:33,gpt-oss-120b,bedrock,native
prog35_perfect_numbers,3,1.0000,5,5,True,False,970,12,0.006861,14793,7736,openai.gpt-oss-120b-1:0,bedrock,85.2,[],2026-08-16T23:03:58,gpt-oss-120b,bedrock,native
prog38_continued_fraction,1,0.6000,3,5,True,False,1999,12,0.008298,15283,10010,openai.gpt-oss-120b-1:0,bedrock,190.2,[],2026-08-16T23:07:08,gpt-oss-120b,bedrock,native
prog38_continued_fraction,2,0.6000,3,5,True,False,1339,12,0.003863,8795,4240,openai.gpt-oss-120b-1:0,bedrock,59.4,[],2026-08-16T23:08:08,gpt-oss-120b,bedrock,native
prog38_continued_fraction,3,0.6000,3,5,True,False,1488,12,0.007758,20491,7808,openai.gpt-oss-120b-1:0,bedrock,95.5,[],2026-08-16T23:09:43,gpt-oss-120b,bedrock,native
prog39_horner,1,0.0000,0,5,False,True,0,12,0.006914,8476,9404,openai.gpt-oss-120b-1:0,bedrock,39.3,nessun candidato prodotto,2026-08-16T23:10:23,gpt-oss-120b,bedrock,native
prog39_horner,2,0.0000,0,5,False,True,0,12,0.003877,11385,3616,openai.gpt-oss-120b-1:0,bedrock,219.3,"ValidationException: An error occurred (ValidationException) when calling the Converse operation: 1 validation error detected: Value at 'messages.10.member.content.1.member.toolUse.name' failed to satisfy constraint: Member must satisfy regular expression pattern: [a-zA-Z0-9_-]+
Traceback (most rece",2026-08-16T23:14:02,gpt-oss-120b,bedrock,native
prog39_horner,3,0.0000,0,5,False,True,0,12,0.005631,4461,8269,openai.gpt-oss-120b-1:0,bedrock,46.4,nessun candidato prodotto,2026-08-16T23:14:48,gpt-oss-120b,bedrock,native
prog45_josephus,1,1.0000,5,5,True,False,745,12,0.002423,3585,3142,openai.gpt-oss-120b-1:0,bedrock,16.6,[],2026-08-16T23:15:05,gpt-oss-120b,bedrock,native
prog45_josephus,2,1.0000,5,5,True,False,745,12,0.002971,3585,4056,openai.gpt-oss-120b-1:0,bedrock,18.0,[],2026-08-16T23:15:23,gpt-oss-120b,bedrock,native
prog45_josephus,3,0.8000,4,5,True,False,707,12,0.004619,3585,6802,openai.gpt-oss-120b-1:0,bedrock,40.1,[],2026-08-16T23:16:03,gpt-oss-120b,bedrock,native
prog49_bst,1,0.8000,4,5,True,False,5414,12,0.006949,19510,6705,openai.gpt-oss-120b-1:0,bedrock,43.8,[],2026-08-16T23:16:47,gpt-oss-120b,bedrock,native
prog49_bst,2,0.8000,4,5,True,False,1929,12,0.007589,27101,5873,openai.gpt-oss-120b-1:0,bedrock,76.7,[],2026-08-16T23:18:03,gpt-oss-120b,bedrock,native
prog49_bst,3,0.0000,0,5,False,True,0,12,0.001177,5050,700,openai.gpt-oss-120b-1:0,bedrock,12.4,"ValidationException: An error occurred (ValidationException) when calling the Converse operation: 1 validation error detected: Value at 'messages.6.member.content.1.member.toolUse.name' failed to satisfy constraint: Member must satisfy regular expression pattern: [a-zA-Z0-9_-]+
Traceback (most recen",2026-08-16T23:18:16,gpt-oss-120b,bedrock,native
prog52_bfs_grid,1,0.4000,2,5,True,False,2242,12,0.015282,62090,9947,openai.gpt-oss-120b-1:0,bedrock,137.2,[],2026-08-16T23:20:33,gpt-oss-120b,bedrock,native
