binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,536,12,0.001223,3389,1191,openai.gpt-oss-120b-1:0,bedrock,23.7,[],2026-08-16T08:27:45,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,2,1.0000,5,5,True,False,513,12,0.001330,3389,1369,openai.gpt-oss-120b-1:0,bedrock,26.9,[],2026-08-16T08:28:12,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,3,1.0000,5,5,True,False,513,12,0.001297,3520,1282,openai.gpt-oss-120b-1:0,bedrock,18.3,[],2026-08-16T08:28:30,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,4,1.0000,5,5,True,False,675,12,0.002757,3389,3747,openai.gpt-oss-120b-1:0,bedrock,36.9,[],2026-08-16T08:29:07,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,5,1.0000,5,5,True,False,565,12,0.001212,3389,1173,openai.gpt-oss-120b-1:0,bedrock,12.4,[],2026-08-16T08:29:20,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,6,1.0000,5,5,True,False,547,12,0.001261,3389,1254,openai.gpt-oss-120b-1:0,bedrock,11.0,[],2026-08-16T08:29:31,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,7,1.0000,5,5,True,False,513,12,0.001327,3389,1364,openai.gpt-oss-120b-1:0,bedrock,28.2,[],2026-08-16T08:29:59,gpt-oss-120b,bedrock,text
prog16_word_count_fsm,8,1.0000,5,5,True,False,511,12,0.001147,3389,1064,openai.gpt-oss-120b-1:0,bedrock,7.9,[],2026-08-16T08:30:07,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,1,1.0000,5,5,True,False,1286,12,0.002656,3704,3501,openai.gpt-oss-120b-1:0,bedrock,31.0,[],2026-08-16T08:30:38,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,2,1.0000,5,5,True,False,1348,12,0.002669,3704,3523,openai.gpt-oss-120b-1:0,bedrock,27.0,[],2026-08-16T08:31:05,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,3,1.0000,5,5,True,False,1456,12,0.002440,3704,3140,openai.gpt-oss-120b-1:0,bedrock,13.4,[],2026-08-16T08:31:18,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,4,1.0000,5,5,True,False,1196,12,0.002756,3704,3668,openai.gpt-oss-120b-1:0,bedrock,16.2,[],2026-08-16T08:31:34,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,5,1.0000,5,5,True,False,1779,12,0.002771,3704,3692,openai.gpt-oss-120b-1:0,bedrock,11.8,[],2026-08-16T08:31:46,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,6,1.0000,5,5,True,False,1367,12,0.004039,3704,5806,openai.gpt-oss-120b-1:0,bedrock,36.9,[],2026-08-16T08:32:23,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,7,1.0000,5,5,True,False,1420,12,0.002834,3704,3797,openai.gpt-oss-120b-1:0,bedrock,22.9,[],2026-08-16T08:32:46,gpt-oss-120b,bedrock,text
prog17_whitespace_trim,8,1.0000,5,5,True,False,1346,12,0.002671,3704,3525,openai.gpt-oss-120b-1:0,bedrock,78.6,[],2026-08-16T08:34:04,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,1,0.8000,4,5,True,False,1120,12,0.002337,4496,2771,openai.gpt-oss-120b-1:0,bedrock,55.7,[],2026-08-16T08:35:00,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,2,1.0000,5,5,True,False,1632,12,0.002666,4496,3320,openai.gpt-oss-120b-1:0,bedrock,17.0,[],2026-08-16T08:35:17,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,3,1.0000,5,5,True,False,1679,12,0.002972,4496,3829,openai.gpt-oss-120b-1:0,bedrock,23.5,[],2026-08-16T08:35:41,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,4,0.2000,1,5,True,False,1676,12,0.002066,4496,2320,openai.gpt-oss-120b-1:0,bedrock,27.5,[],2026-08-16T08:36:08,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,5,0.8000,4,5,True,False,1120,12,0.002335,4496,2768,openai.gpt-oss-120b-1:0,bedrock,49.0,[],2026-08-16T08:36:57,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,6,0.8000,4,5,True,False,1482,12,0.002255,4496,2635,openai.gpt-oss-120b-1:0,bedrock,38.5,[],2026-08-16T08:37:36,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,7,0.8000,4,5,True,False,987,12,0.002534,4496,3100,openai.gpt-oss-120b-1:0,bedrock,59.1,[],2026-08-16T08:38:35,gpt-oss-120b,bedrock,text
prog18_caesar_cipher,8,0.8000,4,5,True,False,1355,12,0.002410,4496,2893,openai.gpt-oss-120b-1:0,bedrock,25.0,[],2026-08-16T08:39:00,gpt-oss-120b,bedrock,text
prog19_palindrome_checker,1,1.0000,5,5,True,False,1381,12,0.003000,6807,3299,openai.gpt-oss-120b-1:0,bedrock,31.9,[],2026-08-16T08:39:32,gpt-oss-120b,bedrock,text
prog19_palindrome_checker,2,1.0000,5,5,True,False,1175,12,0.003128,4271,4146,openai.gpt-oss-120b-1:0,bedrock,29.2,[],2026-08-16T08:40:01,gpt-oss-120b,bedrock,text
prog19_palindrome_checker,3,0.8000,4,5,True,False,1395,12,0.003179,4271,4230,openai.gpt-oss-120b-1:0,bedrock,35.3,[],2026-08-16T08:40:36,gpt-oss-120b,bedrock,text
prog19_palindrome_checker,4,1.0000,5,5,True,False,952,12,0.002730,4271,3482,openai.gpt-oss-120b-1:0,bedrock,33.6,[],2026-08-16T08:41:10,gpt-oss-120b,bedrock,text
prog19_palindrome_checker,5,1.0000,5,5,True,False,1350,12,0.002290,6577,2172,openai.gpt-oss-120b-1:0,bedrock,18.5,[],2026-08-16T08:41:28,gpt-oss-120b,bedrock,text
prog19_palindrome_checker,6,0.8000,4,5,True,False,1038,12,0.004911,11491,5312,openai.gpt-oss-120b-1:0,bedrock,25.6,[],2026-08-16T08:41:54,gpt-oss-120b,bedrock,text
prog19_palindrome_checker,7,1.0000,5,5,True,False,1315,12,0.002789,4271,3581,openai.gpt-oss-120b-1:0,bedrock,33.4,[],2026-08-16T08:42:27,gpt-oss-120b,bedrock,text
prog19_palindrome_checker,8,1.0000,5,5,True,False,1222,12,0.002766,4271,3543,openai.gpt-oss-120b-1:0,bedrock,25.7,[],2026-08-16T08:42:53,gpt-oss-120b,bedrock,text
prog20_anagram_checker,1,1.0000,5,5,True,False,1379,12,0.002935,4285,3821,openai.gpt-oss-120b-1:0,bedrock,27.7,[],2026-08-16T08:43:21,gpt-oss-120b,bedrock,text
prog20_anagram_checker,2,1.0000,5,5,True,False,1394,12,0.001933,4285,2150,openai.gpt-oss-120b-1:0,bedrock,33.0,[],2026-08-16T08:43:54,gpt-oss-120b,bedrock,text
prog20_anagram_checker,3,1.0000,5,5,True,False,1501,12,0.002816,5431,3335,openai.gpt-oss-120b-1:0,bedrock,15.1,[],2026-08-16T08:44:09,gpt-oss-120b,bedrock,text
prog20_anagram_checker,4,1.0000,5,5,True,False,1245,12,0.001431,4285,1314,openai.gpt-oss-120b-1:0,bedrock,54.3,[],2026-08-16T08:45:03,gpt-oss-120b,bedrock,text
prog20_anagram_checker,5,1.0000,5,5,True,False,1371,12,0.002433,6380,2460,openai.gpt-oss-120b-1:0,bedrock,21.7,[],2026-08-16T08:45:25,gpt-oss-120b,bedrock,text
prog20_anagram_checker,6,1.0000,5,5,True,False,1349,12,0.002352,6363,2329,openai.gpt-oss-120b-1:0,bedrock,22.4,[],2026-08-16T08:45:47,gpt-oss-120b,bedrock,text
prog20_anagram_checker,7,1.0000,5,5,True,False,1423,12,0.001810,4285,1945,openai.gpt-oss-120b-1:0,bedrock,12.1,[],2026-08-16T08:45:59,gpt-oss-120b,bedrock,text
prog20_anagram_checker,8,1.0000,5,5,True,False,1180,12,0.001846,4285,2006,openai.gpt-oss-120b-1:0,bedrock,13.3,[],2026-08-16T08:46:13,gpt-oss-120b,bedrock,text
prog21_date_validator,1,1.0000,5,5,True,False,1561,12,0.003632,4825,4847,openai.gpt-oss-120b-1:0,bedrock,94.7,[],2026-08-16T08:47:47,gpt-oss-120b,bedrock,text
prog21_date_validator,2,1.0000,5,5,True,False,1709,12,0.002351,4825,2712,openai.gpt-oss-120b-1:0,bedrock,11.9,[],2026-08-16T08:47:59,gpt-oss-120b,bedrock,text
prog21_date_validator,3,0.0000,0,5,False,False,1661,12,0.003133,4825,4016,openai.gpt-oss-120b-1:0,bedrock,23.3,harness_error: IndexError: list index out of range,2026-08-16T08:48:23,gpt-oss-120b,bedrock,text
prog21_date_validator,4,0.6000,3,5,True,False,2302,12,0.004801,6880,6282,openai.gpt-oss-120b-1:0,bedrock,56.9,[],2026-08-16T08:49:20,gpt-oss-120b,bedrock,text
prog21_date_validator,5,1.0000,5,5,True,False,1480,12,0.003379,4825,4426,openai.gpt-oss-120b-1:0,bedrock,21.3,[],2026-08-16T08:49:41,gpt-oss-120b,bedrock,text
prog21_date_validator,6,0.6000,3,5,True,False,1486,12,0.004197,4825,5789,openai.gpt-oss-120b-1:0,bedrock,29.0,[],2026-08-16T08:50:10,gpt-oss-120b,bedrock,text
prog21_date_validator,7,1.0000,5,5,True,False,1397,12,0.002417,4825,2822,openai.gpt-oss-120b-1:0,bedrock,28.1,[],2026-08-16T08:50:38,gpt-oss-120b,bedrock,text
prog21_date_validator,8,0.6000,3,5,True,False,1669,12,0.002613,4825,3148,openai.gpt-oss-120b-1:0,bedrock,12.3,[],2026-08-16T08:50:50,gpt-oss-120b,bedrock,text
prog22_snake_camel_convert,1,0.6000,3,5,True,False,2860,12,0.003138,10581,2585,openai.gpt-oss-120b-1:0,bedrock,23.2,[],2026-08-16T08:51:14,gpt-oss-120b,bedrock,text
prog22_snake_camel_convert,2,0.8000,4,5,True,False,1517,12,0.003716,7806,4242,openai.gpt-oss-120b-1:0,bedrock,33.3,[],2026-08-16T08:51:47,gpt-oss-120b,bedrock,text
prog22_snake_camel_convert,3,0.4000,2,5,True,False,1677,12,0.004148,13011,3661,openai.gpt-oss-120b-1:0,bedrock,75.9,[],2026-08-16T08:53:03,gpt-oss-120b,bedrock,text
prog22_snake_camel_convert,4,0.8000,4,5,True,False,1537,12,0.002958,5454,3566,openai.gpt-oss-120b-1:0,bedrock,19.2,[],2026-08-16T08:53:22,gpt-oss-120b,bedrock,text
prog22_snake_camel_convert,5,0.8000,4,5,True,False,1708,12,0.002357,5454,2564,openai.gpt-oss-120b-1:0,bedrock,40.2,[],2026-08-16T08:54:02,gpt-oss-120b,bedrock,text
prog22_snake_camel_convert,6,0.8000,4,5,True,False,2086,12,0.004106,13011,3590,openai.gpt-oss-120b-1:0,bedrock,44.0,[],2026-08-16T08:54:46,gpt-oss-120b,bedrock,text
prog22_snake_camel_convert,7,0.8000,4,5,True,False,1708,12,0.002355,5454,2561,openai.gpt-oss-120b-1:0,bedrock,48.4,[],2026-08-16T08:55:35,gpt-oss-120b,bedrock,text
prog22_snake_camel_convert,8,0.8000,4,5,True,False,2222,12,0.003033,5454,3691,openai.gpt-oss-120b-1:0,bedrock,20.7,[],2026-08-16T08:55:55,gpt-oss-120b,bedrock,text
prog23_longest_common_prefix,1,0.0000,0,5,False,True,0,12,0.005601,4079,8316,openai.gpt-oss-120b-1:0,bedrock,61.9,nessun candidato prodotto,2026-08-16T08:56:57,gpt-oss-120b,bedrock,text
