binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,510,12,0.001384,3440,1062,databricks-gpt-oss-120b,databricks,9.8,[],2026-08-15T20:57:37,gpt-oss-120b,databricks,native
prog16_word_count_fsm,2,1.0000,5,5,True,False,871,12,0.003857,6255,3793,databricks-gpt-oss-120b,databricks,20.0,[],2026-08-15T20:57:57,gpt-oss-120b,databricks,native
prog16_word_count_fsm,3,1.0000,5,5,True,False,542,12,0.001370,3440,1043,databricks-gpt-oss-120b,databricks,8.8,[],2026-08-15T20:58:06,gpt-oss-120b,databricks,native
prog16_word_count_fsm,4,0.8000,4,5,True,False,669,12,0.001374,3440,1048,databricks-gpt-oss-120b,databricks,8.2,[],2026-08-15T20:58:14,gpt-oss-120b,databricks,native
prog16_word_count_fsm,5,0.8000,4,5,True,False,669,12,0.001374,3440,1048,databricks-gpt-oss-120b,databricks,7.8,[],2026-08-15T20:58:22,gpt-oss-120b,databricks,native
prog16_word_count_fsm,6,1.0000,5,5,True,False,542,12,0.001727,3440,1538,databricks-gpt-oss-120b,databricks,10.6,[],2026-08-15T20:58:33,gpt-oss-120b,databricks,native
prog16_word_count_fsm,7,1.0000,5,5,True,False,542,12,0.001841,3440,1697,databricks-gpt-oss-120b,databricks,13.4,[],2026-08-15T20:58:46,gpt-oss-120b,databricks,native
prog16_word_count_fsm,8,0.8000,4,5,True,False,920,12,0.007179,13422,6615,databricks-gpt-oss-120b,databricks,32.4,[],2026-08-15T20:59:18,gpt-oss-120b,databricks,native
prog17_whitespace_trim,1,0.0000,0,5,False,False,1161,12,0.004109,6479,4087,databricks-gpt-oss-120b,databricks,21.5,"/w/candidate.c:45:1: error: extraneous closing brace ('}')
   45 | }
      | ^
1 error generated.
",2026-08-15T20:59:40,gpt-oss-120b,databricks,native
prog17_whitespace_trim,2,1.0000,5,5,True,False,1014,12,0.005802,7634,6150,databricks-gpt-oss-120b,databricks,29.5,[],2026-08-15T21:00:09,gpt-oss-120b,databricks,native
prog17_whitespace_trim,3,1.0000,5,5,True,False,1003,12,0.003009,4343,3094,databricks-gpt-oss-120b,databricks,16.7,[],2026-08-15T21:00:26,gpt-oss-120b,databricks,native
prog17_whitespace_trim,4,1.0000,5,5,True,False,1003,12,0.003009,4343,3094,databricks-gpt-oss-120b,databricks,16.5,[],2026-08-15T21:00:43,gpt-oss-120b,databricks,native
prog17_whitespace_trim,5,1.0000,5,5,True,False,1085,12,0.005930,7703,6311,databricks-gpt-oss-120b,databricks,38.8,[],2026-08-15T21:01:21,gpt-oss-120b,databricks,native
prog17_whitespace_trim,6,1.0000,5,5,True,False,1003,12,0.003009,4343,3094,databricks-gpt-oss-120b,databricks,16.9,[],2026-08-15T21:01:38,gpt-oss-120b,databricks,native
prog17_whitespace_trim,7,1.0000,5,5,True,False,1198,12,0.002886,3755,3069,databricks-gpt-oss-120b,databricks,15.7,[],2026-08-15T21:01:54,gpt-oss-120b,databricks,native
prog17_whitespace_trim,8,1.0000,5,5,True,False,1516,12,0.006513,7657,7132,databricks-gpt-oss-120b,databricks,33.9,[],2026-08-15T21:02:28,gpt-oss-120b,databricks,native
prog18_caesar_cipher,1,0.0000,0,5,True,False,789,12,0.002563,4547,2423,databricks-gpt-oss-120b,databricks,13.2,[],2026-08-15T21:02:41,gpt-oss-120b,databricks,native
