binary_id,run_id,pass_rate,n_passed,n_tests,compiled,infra_failure,candidate_chars,n_turns,cost_usd,in_tokens,out_tokens,model,provider,elapsed_s,error,timestamp,modello,infra,trasporto
prog16_word_count_fsm,1,1.0000,5,5,True,False,483,12,0.004526,6193,450,databricks-meta-llama-3-3-70b-instruct,databricks,11.8,[],2026-08-16T07:55:03,llama-3.3-70b,databricks,text
prog16_word_count_fsm,2,1.0000,5,5,True,False,485,12,0.004547,6234,448,databricks-meta-llama-3-3-70b-instruct,databricks,10.7,[],2026-08-16T07:55:14,llama-3.3-70b,databricks,text
prog16_word_count_fsm,3,1.0000,5,5,True,False,485,12,0.004579,6258,458,databricks-meta-llama-3-3-70b-instruct,databricks,10.7,[],2026-08-16T07:55:25,llama-3.3-70b,databricks,text
prog16_word_count_fsm,4,1.0000,5,5,True,False,485,12,0.004549,6234,449,databricks-meta-llama-3-3-70b-instruct,databricks,10.5,[],2026-08-16T07:55:35,llama-3.3-70b,databricks,text
prog16_word_count_fsm,5,1.0000,5,5,True,False,485,12,0.004543,6234,446,databricks-meta-llama-3-3-70b-instruct,databricks,10.4,[],2026-08-16T07:55:46,llama-3.3-70b,databricks,text
prog16_word_count_fsm,6,1.0000,5,5,True,False,487,12,0.004699,6287,515,databricks-meta-llama-3-3-70b-instruct,databricks,11.3,[],2026-08-16T07:55:57,llama-3.3-70b,databricks,text
prog16_word_count_fsm,7,1.0000,5,5,True,False,487,12,0.004715,6254,535,databricks-meta-llama-3-3-70b-instruct,databricks,11.6,[],2026-08-16T07:56:09,llama-3.3-70b,databricks,text
prog16_word_count_fsm,8,1.0000,5,5,True,False,487,12,0.004678,6246,517,databricks-meta-llama-3-3-70b-instruct,databricks,11.1,[],2026-08-16T07:56:20,llama-3.3-70b,databricks,text
prog17_whitespace_trim,1,0.4000,2,5,True,False,542,12,0.005092,6839,549,databricks-meta-llama-3-3-70b-instruct,databricks,11.7,[],2026-08-16T07:56:32,llama-3.3-70b,databricks,text
prog17_whitespace_trim,2,0.4000,2,5,True,False,331,12,0.005087,6867,537,databricks-meta-llama-3-3-70b-instruct,databricks,11.8,[],2026-08-16T07:56:43,llama-3.3-70b,databricks,text
prog17_whitespace_trim,3,0.4000,2,5,True,False,516,12,0.005179,6841,597,databricks-meta-llama-3-3-70b-instruct,databricks,12.3,[],2026-08-16T07:56:56,llama-3.3-70b,databricks,text
prog17_whitespace_trim,4,0.4000,2,5,True,False,644,12,0.005056,6828,533,databricks-meta-llama-3-3-70b-instruct,databricks,11.6,[],2026-08-16T07:57:07,llama-3.3-70b,databricks,text
prog17_whitespace_trim,5,0.4000,2,5,True,False,609,12,0.005256,6885,625,databricks-meta-llama-3-3-70b-instruct,databricks,12.8,[],2026-08-16T07:57:20,llama-3.3-70b,databricks,text
prog17_whitespace_trim,6,0.4000,2,5,True,False,574,12,0.005053,6822,533,databricks-meta-llama-3-3-70b-instruct,databricks,11.3,[],2026-08-16T07:57:31,llama-3.3-70b,databricks,text
prog17_whitespace_trim,7,0.4000,2,5,True,False,583,12,0.005137,6857,568,databricks-meta-llama-3-3-70b-instruct,databricks,12.0,[],2026-08-16T07:57:43,llama-3.3-70b,databricks,text
prog17_whitespace_trim,8,0.4000,2,5,True,False,544,12,0.004931,6860,453,databricks-meta-llama-3-3-70b-instruct,databricks,10.5,[],2026-08-16T07:57:54,llama-3.3-70b,databricks,text
prog18_caesar_cipher,1,0.0000,0,5,True,False,553,12,0.008850,12524,742,databricks-meta-llama-3-3-70b-instruct,databricks,15.2,[],2026-08-16T07:58:09,llama-3.3-70b,databricks,text
prog18_caesar_cipher,2,0.0000,0,5,True,False,563,12,0.005981,8303,555,databricks-meta-llama-3-3-70b-instruct,databricks,11.7,[],2026-08-16T07:58:21,llama-3.3-70b,databricks,text
prog18_caesar_cipher,3,0.0000,0,5,True,False,563,12,0.008598,12416,638,databricks-meta-llama-3-3-70b-instruct,databricks,14.1,[],2026-08-16T07:58:35,llama-3.3-70b,databricks,text
prog18_caesar_cipher,4,0.0000,0,5,True,False,679,12,0.008838,12513,739,databricks-meta-llama-3-3-70b-instruct,databricks,14.9,[],2026-08-16T07:58:50,llama-3.3-70b,databricks,text
prog18_caesar_cipher,5,0.0000,0,5,True,False,553,12,0.008646,12519,630,databricks-meta-llama-3-3-70b-instruct,databricks,13.7,[],2026-08-16T07:59:03,llama-3.3-70b,databricks,text
prog18_caesar_cipher,6,0.0000,0,5,True,False,651,12,0.008512,12417,590,databricks-meta-llama-3-3-70b-instruct,databricks,13.1,[],2026-08-16T07:59:16,llama-3.3-70b,databricks,text
prog18_caesar_cipher,7,0.0000,0,5,True,False,523,12,0.006051,8324,587,databricks-meta-llama-3-3-70b-instruct,databricks,12.2,[],2026-08-16T07:59:29,llama-3.3-70b,databricks,text
prog18_caesar_cipher,8,0.0000,0,5,True,False,544,12,0.008541,12416,606,databricks-meta-llama-3-3-70b-instruct,databricks,13.1,[],2026-08-16T07:59:42,llama-3.3-70b,databricks,text
prog19_palindrome_checker,1,0.8000,4,5,True,False,555,12,0.005848,8031,572,databricks-meta-llama-3-3-70b-instruct,databricks,12.0,[],2026-08-16T07:59:54,llama-3.3-70b,databricks,text
prog19_palindrome_checker,2,0.8000,4,5,True,False,555,12,0.005698,8005,497,databricks-meta-llama-3-3-70b-instruct,databricks,11.7,[],2026-08-16T08:00:05,llama-3.3-70b,databricks,text
prog19_palindrome_checker,3,0.8000,4,5,True,False,462,12,0.005606,7978,455,databricks-meta-llama-3-3-70b-instruct,databricks,10.6,[],2026-08-16T08:00:16,llama-3.3-70b,databricks,text
prog19_palindrome_checker,4,0.0000,0,5,False,False,983,12,0.008589,12022,764,databricks-meta-llama-3-3-70b-instruct,databricks,15.3,"/w/candidate.c:19:22: error: call to undeclared library function 'malloc' with type 'void *(unsigned long)'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
   19 |     char *norm_str = malloc(len + 1);
      |                      ^
/w/candidate.c:1",2026-08-16T08:00:31,llama-3.3-70b,databricks,text
prog19_palindrome_checker,5,0.8000,4,5,True,False,467,12,0.005825,8019,563,databricks-meta-llama-3-3-70b-instruct,databricks,12.0,[],2026-08-16T08:00:43,llama-3.3-70b,databricks,text
prog19_palindrome_checker,6,0.8000,4,5,True,False,555,12,0.005649,7978,479,databricks-meta-llama-3-3-70b-instruct,databricks,10.9,[],2026-08-16T08:00:54,llama-3.3-70b,databricks,text
prog19_palindrome_checker,7,0.8000,4,5,True,False,555,12,0.005723,8014,508,databricks-meta-llama-3-3-70b-instruct,databricks,11.3,[],2026-08-16T08:01:06,llama-3.3-70b,databricks,text
